[2025-03-20 12:12:12,027] [INFO] LLAPBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-20 12:12:12,097] [INFO] Client: Waiting for /start-protocol trigger
[2025-03-20 12:12:20,584] [INFO] /start-protocol 입력값: {'latitude': 36.6261519, 'longitude': 127.4590123, 'altitude': 0}
[2025-03-20 12:12:21,541] [INFO] Prewarm connections completed.
[2025-03-20 12:12:21,545] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30006 for Cluster 0 | Distance:   89.46 m | Delay: 0.4661s | Size: 16779264 bit
[2025-03-20 12:12:25,162] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30006 | Distance:   68.17 m | Delay: 0.4660s | Size: 16778048 bit
[2025-03-20 12:12:25,176] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30006 for Cluster 0 | Distance:   89.46 m | Delay: 0.4661s | Size: 16779264 bit
[2025-03-20 12:12:25,176] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30002 for Cluster 1 | Distance:  126.84 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:12:25,192] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30029 for Cluster 2 | Distance:  119.36 m | Delay: 0.6991s | Size: 16779544 bit
[2025-03-20 12:12:25,207] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30012 for Cluster 3 | Distance:  174.36 m | Delay: 0.9322s | Size: 16778872 bit
[2025-03-20 12:12:29,368] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30029 | Distance:   65.07 m | Delay: 0.4660s | Size: 16778040 bit
[2025-03-20 12:12:29,383] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30002 | Distance:  115.35 m | Delay: 0.6991s | Size: 16778056 bit
[2025-03-20 12:12:29,541] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30006 | Distance:   68.17 m | Delay: 0.4660s | Size: 16778048 bit
[2025-03-20 12:12:30,146] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30012 | Distance:  159.67 m | Delay: 0.9321s | Size: 16778056 bit
[2025-03-20 12:12:31,164] [INFO] Round 1: 5.9888 seconds
[2025-03-20 12:12:33,173] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30006 for Cluster 0 | Distance:   89.46 m | Delay: 0.4661s | Size: 16779264 bit
[2025-03-20 12:12:33,173] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30002 for Cluster 1 | Distance:  126.84 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:12:33,188] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30029 for Cluster 2 | Distance:  119.36 m | Delay: 0.6991s | Size: 16779536 bit
[2025-03-20 12:12:33,204] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30012 for Cluster 3 | Distance:  174.36 m | Delay: 0.9322s | Size: 16778864 bit
[2025-03-20 12:12:37,172] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30002 | Distance:  115.35 m | Delay: 0.6991s | Size: 16778056 bit
