[2025-03-20 12:37:46,154] [INFO] Node started: localhost:30104 | index=105 | f=1, k=4
[2025-03-20 12:38:03,874] [INFO] Phase: PRE-PREPARE | Receiver: 30104 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:38:03,886] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:16,734] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:16,747] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:16,785] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:16,990] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,265] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:17,422] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:17,683] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:17,872] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:19,330] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,371] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,902] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:20,012] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,061] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:20,109] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,138] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30104 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:20,233] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:20,281] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:20,364] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:20,409] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,438] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:20,462] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,487] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,515] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,543] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,572] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:20,595] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,622] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,646] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:20,669] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
