[2025-03-20 12:37:48,577] [INFO] Node started: localhost:30116 | index=117 | f=1, k=4
[2025-03-20 12:38:03,971] [INFO] Phase: PRE-PREPARE | Receiver: 30116 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:38:04,095] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30116 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:13,760] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:13,780] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30116 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:13,815] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,244] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,394] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:14,664] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:14,953] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:15,242] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:15,388] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,164] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,204] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:17,220] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30116 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:17,288] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,313] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:17,344] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,367] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,392] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,420] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:17,446] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,522] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,554] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,588] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:17,620] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:17,917] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,947] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:17,981] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:18,040] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,073] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,102] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:18,717] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,943] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,090] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,178] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,305] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,421] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:19,643] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:19,676] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:19,787] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:19,822] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,898] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:19,924] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,956] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:19,984] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,008] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,034] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,111] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,159] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:20,187] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,220] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,261] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,293] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:20,325] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:20,356] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
