[2025-03-07 14:05:11,670] [INFO] Node started: localhost:30125 | index=126 | f=1, k=4
[2025-03-07 14:05:29,830] [INFO] [30125] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30022, 'cluster_id': 1, 'cluster_ports': [30003, 30019, 30020, 30022, 30026, 30028, 30030, 30032, 30033, 30045, 30050, 30062, 30064, 30067, 30068, 30069, 30071, 30077, 30080, 30086, 30097, 30099, 30117, 30119, 30125, 30128, 30134, 30140, 30141, 30146, 30148, 30153, 30155, 30159, 30160, 30167, 30179, 30180, 30182, 30190, 30192, 30194, 30197], 'cluster_manager': {'host': 'localhost', 'port': 30128, 'latitude': 36.6267082, 'longitude': 127.4594338, 'altitude': 224, 'offset_m': 'lat: 12 m, lng: 83 m, alt: 224 m'}, 'simulated_delay': 0.00020933333333333334, 'distance': 110.69510032443435, 'message_size_bits': 5024}
[2025-03-07 14:05:29,835] [INFO] [30125] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,020] [INFO] [30125] PREPARE received from 30167 for REQUEST 1741323929740
[2025-03-07 14:05:30,020] [INFO] [30125] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:30,486] [INFO] [30125] PREPARE received from 30180 for REQUEST 1741323929740
[2025-03-07 14:05:30,593] [INFO] [30125] PREPARE received from 30080 for REQUEST 1741323929740
[2025-03-07 14:05:32,174] [INFO] [30125] COMMIT received from 30180 for REQUEST 1741323929740
[2025-03-07 14:05:32,174] [INFO] [30125] COMMIT received from 30190 for REQUEST 1741323929740
[2025-03-07 14:05:32,174] [INFO] [30125] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30128
[2025-03-07 14:05:32,626] [INFO] [30125] PREPARE received from 30192 for REQUEST 1741323929740
[2025-03-07 14:05:32,626] [INFO] [30125] PREPARE received from 30190 for REQUEST 1741323929740
[2025-03-07 14:05:32,804] [INFO] [30125] PREPARE received from 30197 for REQUEST 1741323929740
[2025-03-07 14:05:32,804] [INFO] [30125] PREPARE received from 30032 for REQUEST 1741323929740
[2025-03-07 14:05:32,804] [INFO] [30125] COMMIT received from 30167 for REQUEST 1741323929740
[2025-03-07 14:05:32,804] [INFO] [30125] COMMIT received from 30032 for REQUEST 1741323929740
[2025-03-07 14:05:32,871] [INFO] [30125] PREPARE received from 30003 for REQUEST 1741323929740
[2025-03-07 14:05:33,108] [INFO] [30125] PREPARE received from 30140 for REQUEST 1741323929740
[2025-03-07 14:05:33,108] [INFO] [30125] PREPARE received from 30179 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] PREPARE received from 30067 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] COMMIT received from 30080 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] COMMIT received from 30197 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] PREPARE received from 30155 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] PREPARE received from 30146 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] COMMIT received from 30192 for REQUEST 1741323929740
[2025-03-07 14:05:33,111] [INFO] [30125] PREPARE received from 30148 for REQUEST 1741323929740
[2025-03-07 14:05:33,332] [INFO] [30125] COMMIT received from 30155 for REQUEST 1741323929740
[2025-03-07 14:05:33,332] [INFO] [30125] COMMIT received from 30067 for REQUEST 1741323929740
[2025-03-07 14:05:33,332] [INFO] [30125] COMMIT received from 30179 for REQUEST 1741323929740
[2025-03-07 14:05:33,332] [INFO] [30125] COMMIT received from 30140 for REQUEST 1741323929740
[2025-03-07 14:05:33,332] [INFO] [30125] COMMIT received from 30003 for REQUEST 1741323929740
[2025-03-07 14:05:33,672] [INFO] [30125] PREPARE received from 30182 for REQUEST 1741323929740
[2025-03-07 14:05:33,674] [INFO] [30125] COMMIT received from 30146 for REQUEST 1741323929740
[2025-03-07 14:05:33,675] [INFO] [30125] PREPARE received from 30019 for REQUEST 1741323929740
[2025-03-07 14:05:33,675] [INFO] [30125] COMMIT received from 30148 for REQUEST 1741323929740
[2025-03-07 14:05:34,028] [INFO] [30125] PREPARE received from 30071 for REQUEST 1741323929740
[2025-03-07 14:05:34,028] [INFO] [30125] PREPARE received from 30062 for REQUEST 1741323929740
[2025-03-07 14:05:34,028] [INFO] [30125] COMMIT received from 30182 for REQUEST 1741323929740
[2025-03-07 14:05:34,032] [INFO] [30125] PREPARE received from 30086 for REQUEST 1741323929740
[2025-03-07 14:05:34,032] [INFO] [30125] COMMIT received from 30086 for REQUEST 1741323929740
[2025-03-07 14:05:34,284] [INFO] [30125] COMMIT received from 30071 for REQUEST 1741323929740
[2025-03-07 14:05:34,284] [INFO] [30125] COMMIT received from 30062 for REQUEST 1741323929740
[2025-03-07 14:05:34,284] [INFO] [30125] COMMIT received from 30019 for REQUEST 1741323929740
[2025-03-07 14:05:34,370] [INFO] [30125] PREPARE received from 30020 for REQUEST 1741323929740
[2025-03-07 14:05:34,370] [INFO] [30125] PREPARE received from 30033 for REQUEST 1741323929740
[2025-03-07 14:05:34,372] [INFO] [30125] COMMIT received from 30022 for REQUEST 1741323929740
[2025-03-07 14:05:34,372] [INFO] [30125] PREPARE received from 30077 for REQUEST 1741323929740
[2025-03-07 14:05:34,372] [INFO] [30125] PREPARE received from 30099 for REQUEST 1741323929740
[2025-03-07 14:05:34,372] [INFO] [30125] PREPARE received from 30153 for REQUEST 1741323929740
[2025-03-07 14:05:34,372] [INFO] [30125] PREPARE received from 30194 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30160 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30020 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30194 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30033 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30099 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30077 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30125] COMMIT received from 30153 for REQUEST 1741323929740
[2025-03-07 14:05:34,487] [INFO] [30125] PREPARE received from 30159 for REQUEST 1741323929740
[2025-03-07 14:05:34,487] [INFO] [30125] PREPARE received from 30141 for REQUEST 1741323929740
[2025-03-07 14:05:34,487] [INFO] [30125] PREPARE received from 30026 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] PREPARE received from 30069 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] PREPARE received from 30030 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] PREPARE received from 30028 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] PREPARE received from 30160 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] PREPARE received from 30134 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] COMMIT received from 30050 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] COMMIT received from 30141 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] COMMIT received from 30159 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] COMMIT received from 30030 for REQUEST 1741323929740
[2025-03-07 14:05:34,494] [INFO] [30125] COMMIT received from 30028 for REQUEST 1741323929740
[2025-03-07 14:05:34,499] [INFO] [30125] COMMIT received from 30069 for REQUEST 1741323929740
[2025-03-07 14:05:34,499] [INFO] [30125] COMMIT received from 30134 for REQUEST 1741323929740
[2025-03-07 14:05:34,499] [INFO] [30125] PREPARE received from 30050 for REQUEST 1741323929740
[2025-03-07 14:05:34,499] [INFO] [30125] COMMIT received from 30026 for REQUEST 1741323929740
[2025-03-07 14:05:34,503] [INFO] [30125] COMMIT received from 30045 for REQUEST 1741323929740
[2025-03-07 14:05:34,503] [INFO] [30125] PREPARE received from 30045 for REQUEST 1741323929740
[2025-03-07 14:05:34,549] [INFO] [30125] PREPARE received from 30068 for REQUEST 1741323929740
[2025-03-07 14:05:34,619] [INFO] [30125] PREPARE received from 30119 for REQUEST 1741323929740
[2025-03-07 14:05:34,777] [INFO] [30125] COMMIT received from 30119 for REQUEST 1741323929740
[2025-03-07 14:05:34,829] [INFO] [30125] COMMIT received from 30068 for REQUEST 1741323929740
[2025-03-07 14:05:35,248] [INFO] [30125] PREPARE received from 30097 for REQUEST 1741323929740
[2025-03-07 14:05:35,248] [INFO] [30125] COMMIT received from 30097 for REQUEST 1741323929740
[2025-03-07 14:05:35,442] [INFO] [30125] PREPARE received from 30064 for REQUEST 1741323929740
[2025-03-07 14:05:35,442] [INFO] [30125] COMMIT received from 30064 for REQUEST 1741323929740
[2025-03-07 14:05:35,616] [INFO] [30125] PREPARE received from 30117 for REQUEST 1741323929740
[2025-03-07 14:05:35,616] [INFO] [30125] COMMIT received from 30117 for REQUEST 1741323929740
[2025-03-07 14:06:53,884] [INFO] Node started: localhost:30125 | index=126 | f=1, k=4
[2025-03-07 14:07:02,111] [INFO] [30125] PRE-PREPARE received: {'request_id': 1741324022032, 'data': 'llapbft_message_1741324022032', 'timestamp': 1741324022.0687447, 'leader': 30086, 'cluster_id': 1, 'cluster_ports': [30005, 30015, 30018, 30024, 30025, 30045, 30047, 30051, 30061, 30069, 30073, 30086, 30103, 30104, 30110, 30112, 30120, 30125, 30126, 30130, 30133, 30140, 30142, 30144, 30145, 30148, 30155, 30158], 'cluster_manager': {'host': 'localhost', 'port': 30018, 'latitude': 36.6268812, 'longitude': 127.4589418, 'altitude': 19, 'offset_m': 'lat: 31 m, lng: 39 m, alt: 19 m'}, 'simulated_delay': 0.000116, 'distance': 94.85072092032107, 'message_size_bits': 4176}
[2025-03-07 14:07:02,111] [INFO] [30125] Broadcasting PREPARE: REQUEST 1741324022032
[2025-03-07 14:07:02,303] [INFO] [30125] PREPARE received from 30051 for REQUEST 1741324022032
[2025-03-07 14:07:02,303] [INFO] [30125] Broadcasting COMMIT: REQUEST 1741324022032
[2025-03-07 14:07:02,313] [INFO] [30125] PREPARE received from 30133 for REQUEST 1741324022032
[2025-03-07 14:07:02,522] [INFO] [30125] PREPARE received from 30126 for REQUEST 1741324022032
[2025-03-07 14:07:02,526] [INFO] [30125] PREPARE received from 30110 for REQUEST 1741324022032
[2025-03-07 14:07:02,528] [INFO] [30125] PREPARE received from 30015 for REQUEST 1741324022032
[2025-03-07 14:07:02,528] [INFO] [30125] PREPARE received from 30073 for REQUEST 1741324022032
[2025-03-07 14:07:02,546] [INFO] [30125] PREPARE received from 30045 for REQUEST 1741324022032
[2025-03-07 14:07:02,546] [INFO] [30125] PREPARE received from 30144 for REQUEST 1741324022032
[2025-03-07 14:07:02,562] [INFO] [30125] COMMIT received from 30144 for REQUEST 1741324022032
[2025-03-07 14:07:02,562] [INFO] [30125] PREPARE received from 30130 for REQUEST 1741324022032
[2025-03-07 14:07:02,563] [INFO] [30125] COMMIT received from 30130 for REQUEST 1741324022032
[2025-03-07 14:07:02,563] [INFO] [30125] COMMIT complete. Sending PRE-REPLY: REQUEST 1741324022032 directly to Manager 30018
[2025-03-07 14:07:02,563] [INFO] [30125] COMMIT received from 30142 for REQUEST 1741324022032
[2025-03-07 14:07:02,564] [INFO] [30125] PREPARE received from 30142 for REQUEST 1741324022032
[2025-03-07 14:07:02,564] [INFO] [30125] COMMIT received from 30051 for REQUEST 1741324022032
[2025-03-07 14:07:02,564] [INFO] [30125] COMMIT received from 30110 for REQUEST 1741324022032
[2025-03-07 14:07:02,565] [INFO] [30125] PREPARE received from 30158 for REQUEST 1741324022032
[2025-03-07 14:07:02,565] [INFO] [30125] COMMIT received from 30158 for REQUEST 1741324022032
[2025-03-07 14:07:02,567] [INFO] [30125] COMMIT received from 30133 for REQUEST 1741324022032
[2025-03-07 14:07:02,585] [INFO] [30125] COMMIT received from 30015 for REQUEST 1741324022032
[2025-03-07 14:07:02,585] [INFO] [30125] COMMIT received from 30126 for REQUEST 1741324022032
[2025-03-07 14:07:02,619] [INFO] [30125] PREPARE received from 30047 for REQUEST 1741324022032
[2025-03-07 14:07:02,619] [INFO] [30125] COMMIT received from 30047 for REQUEST 1741324022032
[2025-03-07 14:07:02,642] [INFO] [30125] COMMIT received from 30086 for REQUEST 1741324022032
[2025-03-07 14:07:02,671] [INFO] [30125] COMMIT received from 30073 for REQUEST 1741324022032
[2025-03-07 14:07:02,704] [INFO] [30125] COMMIT received from 30045 for REQUEST 1741324022032
[2025-03-07 14:07:02,754] [INFO] [30125] PREPARE received from 30112 for REQUEST 1741324022032
[2025-03-07 14:07:02,769] [INFO] [30125] PREPARE received from 30069 for REQUEST 1741324022032
[2025-03-07 14:07:02,773] [INFO] [30125] COMMIT received from 30069 for REQUEST 1741324022032
[2025-03-07 14:07:02,793] [INFO] [30125] COMMIT received from 30112 for REQUEST 1741324022032
[2025-03-07 14:07:02,808] [INFO] [30125] PREPARE received from 30140 for REQUEST 1741324022032
[2025-03-07 14:07:02,824] [INFO] [30125] COMMIT received from 30140 for REQUEST 1741324022032
[2025-03-07 14:07:02,880] [INFO] [30125] PREPARE received from 30025 for REQUEST 1741324022032
[2025-03-07 14:07:02,880] [INFO] [30125] COMMIT received from 30025 for REQUEST 1741324022032
[2025-03-07 14:07:02,880] [INFO] [30125] PREPARE received from 30104 for REQUEST 1741324022032
[2025-03-07 14:07:02,880] [INFO] [30125] COMMIT received from 30104 for REQUEST 1741324022032
[2025-03-07 14:07:02,934] [INFO] [30125] PREPARE received from 30005 for REQUEST 1741324022032
[2025-03-07 14:07:02,934] [INFO] [30125] COMMIT received from 30005 for REQUEST 1741324022032
[2025-03-07 14:07:03,045] [INFO] [30125] PREPARE received from 30120 for REQUEST 1741324022032
[2025-03-07 14:07:03,049] [INFO] [30125] COMMIT received from 30103 for REQUEST 1741324022032
[2025-03-07 14:07:03,049] [INFO] [30125] PREPARE received from 30103 for REQUEST 1741324022032
[2025-03-07 14:07:03,077] [INFO] [30125] COMMIT received from 30120 for REQUEST 1741324022032
[2025-03-07 14:07:03,081] [INFO] [30125] PREPARE received from 30155 for REQUEST 1741324022032
[2025-03-07 14:07:03,081] [INFO] [30125] COMMIT received from 30155 for REQUEST 1741324022032
[2025-03-07 14:07:03,108] [INFO] [30125] PREPARE received from 30024 for REQUEST 1741324022032
[2025-03-07 14:07:03,108] [INFO] [30125] COMMIT received from 30024 for REQUEST 1741324022032
[2025-03-07 14:07:03,314] [INFO] [30125] PREPARE received from 30061 for REQUEST 1741324022032
[2025-03-07 14:07:03,314] [INFO] [30125] COMMIT received from 30145 for REQUEST 1741324022032
[2025-03-07 14:07:03,314] [INFO] [30125] PREPARE received from 30145 for REQUEST 1741324022032
[2025-03-07 14:07:03,314] [INFO] [30125] COMMIT received from 30061 for REQUEST 1741324022032
[2025-03-07 14:07:03,533] [INFO] [30125] PREPARE received from 30148 for REQUEST 1741324022032
[2025-03-07 14:07:03,533] [INFO] [30125] COMMIT received from 30148 for REQUEST 1741324022032
