[2025-03-11 17:46:16,573] [INFO] Node started: localhost:30137 | index=138 | f=1, k=4
[2025-03-11 17:46:22,951] [INFO] [CLUSTER LEADER 30137] Forwarded PRE-REQUEST received: {'request_id': 1741682782924, 'timestamp': 1741682782.924994, 'data': 'llapbft_message_1741682782924', 'cluster_id': 3, 'cluster_ports': [30001, 30002, 30003, 30010, 30011, 30016, 30023, 30027, 30028, 30030, 30032, 30035, 30038, 30046, 30048, 30049, 30052, 30055, 30056, 30057, 30060, 30066, 30068, 30070, 30076, 30079, 30083, 30085, 30088, 30091, 30093, 30095, 30096, 30100, 30108, 30113, 30114, 30122, 30124, 30129, 30131, 30132, 30134, 30137, 30138, 30147, 30153, 30157], 'leader': 30137, 'client_port': 20001, 'origin': 'manager', 'simulated_delay': 0.00035777777777777777, 'distance': 159.39766512277248, 'message_size_bits': 6440, 'cluster_manager': {'host': 'localhost', 'port': 30132, 'latitude': 36.6266901, 'longitude': 127.459304, 'altitude': 80, 'offset_m': 'lat: 10 m, lng: 71 m, alt: 80 m'}}
[2025-03-11 17:46:22,951] [INFO] [CLUSTER LEADER 30137] Broadcasting PRE-PREPARE: REQUEST 1741682782924
[2025-03-11 17:46:23,105] [INFO] [30137] PREPARE received from 30091 for REQUEST 1741682782924
[2025-03-11 17:46:23,156] [INFO] [30137] COMMIT received from 30091 for REQUEST 1741682782924
[2025-03-11 17:46:23,347] [INFO] [30137] PREPARE received from 30027 for REQUEST 1741682782924
[2025-03-11 17:46:23,347] [INFO] [30137] Broadcasting COMMIT: REQUEST 1741682782924
[2025-03-11 17:46:23,367] [INFO] [30137] COMMIT received from 30027 for REQUEST 1741682782924
[2025-03-11 17:46:23,369] [INFO] [30137] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682782924 directly to Manager 30132
[2025-03-11 17:46:24,382] [INFO] [30137] PREPARE received from 30131 for REQUEST 1741682782924
[2025-03-11 17:46:24,405] [INFO] [30137] COMMIT received from 30032 for REQUEST 1741682782924
[2025-03-11 17:46:24,405] [INFO] [30137] PREPARE received from 30088 for REQUEST 1741682782924
[2025-03-11 17:46:24,405] [INFO] [30137] COMMIT received from 30035 for REQUEST 1741682782924
[2025-03-11 17:46:24,405] [INFO] [30137] PREPARE received from 30129 for REQUEST 1741682782924
[2025-03-11 17:46:24,405] [INFO] [30137] COMMIT received from 30049 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] PREPARE received from 30056 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] COMMIT received from 30001 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] PREPARE received from 30122 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] COMMIT received from 30003 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] PREPARE received from 30113 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] COMMIT received from 30070 for REQUEST 1741682782924
[2025-03-11 17:46:24,407] [INFO] [30137] PREPARE received from 30010 for REQUEST 1741682782924
[2025-03-11 17:46:24,409] [INFO] [30137] COMMIT received from 30076 for REQUEST 1741682782924
[2025-03-11 17:46:24,409] [INFO] [30137] PREPARE received from 30049 for REQUEST 1741682782924
[2025-03-11 17:46:24,409] [INFO] [30137] COMMIT received from 30085 for REQUEST 1741682782924
[2025-03-11 17:46:24,409] [INFO] [30137] PREPARE received from 30030 for REQUEST 1741682782924
[2025-03-11 17:46:24,409] [INFO] [30137] COMMIT received from 30147 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30108 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30134 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30016 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30032 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30035 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30001 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30003 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30070 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30085 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30131 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30023 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30100 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30055 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30023 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30124 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30011 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30038 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30088 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30124 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30129 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30100 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30056 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30011 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30122 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30055 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30113 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] PREPARE received from 30038 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30010 for REQUEST 1741682782924
[2025-03-11 17:46:24,411] [INFO] [30137] COMMIT received from 30030 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] COMMIT received from 30108 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] COMMIT received from 30016 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] PREPARE received from 30134 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] PREPARE received from 30147 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] PREPARE received from 30057 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] PREPARE received from 30076 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] COMMIT received from 30057 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] PREPARE received from 30002 for REQUEST 1741682782924
[2025-03-11 17:46:24,421] [INFO] [30137] COMMIT received from 30002 for REQUEST 1741682782924
[2025-03-11 17:46:24,547] [INFO] [30137] PREPARE received from 30095 for REQUEST 1741682782924
[2025-03-11 17:46:24,547] [INFO] [30137] COMMIT received from 30095 for REQUEST 1741682782924
[2025-03-11 17:46:24,578] [INFO] [30137] PREPARE received from 30138 for REQUEST 1741682782924
[2025-03-11 17:46:24,585] [INFO] [30137] COMMIT received from 30138 for REQUEST 1741682782924
[2025-03-11 17:46:24,657] [INFO] [30137] PREPARE received from 30079 for REQUEST 1741682782924
[2025-03-11 17:46:24,673] [INFO] [30137] COMMIT received from 30079 for REQUEST 1741682782924
[2025-03-11 17:46:24,673] [INFO] [30137] PREPARE received from 30046 for REQUEST 1741682782924
[2025-03-11 17:46:24,673] [INFO] [30137] COMMIT received from 30046 for REQUEST 1741682782924
[2025-03-11 17:46:24,707] [INFO] [30137] PREPARE received from 30066 for REQUEST 1741682782924
[2025-03-11 17:46:24,707] [INFO] [30137] COMMIT received from 30066 for REQUEST 1741682782924
[2025-03-11 17:46:24,770] [INFO] [30137] PREPARE received from 30114 for REQUEST 1741682782924
[2025-03-11 17:46:24,770] [INFO] [30137] COMMIT received from 30114 for REQUEST 1741682782924
[2025-03-11 17:46:24,815] [INFO] [30137] PREPARE received from 30093 for REQUEST 1741682782924
[2025-03-11 17:46:24,815] [INFO] [30137] COMMIT received from 30093 for REQUEST 1741682782924
[2025-03-11 17:46:25,073] [INFO] [30137] PREPARE received from 30060 for REQUEST 1741682782924
[2025-03-11 17:46:25,073] [INFO] [30137] PREPARE received from 30028 for REQUEST 1741682782924
[2025-03-11 17:46:25,083] [INFO] [30137] COMMIT received from 30028 for REQUEST 1741682782924
[2025-03-11 17:46:25,099] [INFO] [30137] PREPARE received from 30048 for REQUEST 1741682782924
[2025-03-11 17:46:25,101] [INFO] [30137] COMMIT received from 30048 for REQUEST 1741682782924
[2025-03-11 17:46:25,101] [INFO] [30137] COMMIT received from 30060 for REQUEST 1741682782924
[2025-03-11 17:46:25,384] [INFO] [30137] PREPARE received from 30157 for REQUEST 1741682782924
[2025-03-11 17:46:25,647] [INFO] [30137] COMMIT received from 30157 for REQUEST 1741682782924
[2025-03-11 17:46:25,664] [INFO] [30137] PREPARE received from 30068 for REQUEST 1741682782924
[2025-03-11 17:46:25,664] [INFO] [30137] PREPARE received from 30052 for REQUEST 1741682782924
[2025-03-11 17:46:25,666] [INFO] [30137] COMMIT received from 30068 for REQUEST 1741682782924
[2025-03-11 17:46:25,666] [INFO] [30137] COMMIT received from 30052 for REQUEST 1741682782924
