[2025-03-07 14:05:17,877] [INFO] Node started: localhost:30156 | index=157 | f=1, k=4
[2025-03-07 14:05:29,832] [INFO] [30156] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30149, 'cluster_id': 3, 'cluster_ports': [30002, 30005, 30008, 30010, 30017, 30021, 30024, 30031, 30034, 30035, 30040, 30048, 30054, 30055, 30056, 30058, 30076, 30081, 30084, 30090, 30091, 30101, 30103, 30107, 30120, 30123, 30124, 30135, 30136, 30137, 30144, 30149, 30152, 30156, 30158, 30163, 30164, 30166, 30173, 30174, 30175, 30178, 30183, 30186, 30188, 30191, 30193, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30136, 'latitude': 36.6273945, 'longitude': 127.4590786, 'altitude': 185, 'offset_m': 'lat: 88 m, lng: 51 m, alt: 185 m'}, 'simulated_delay': 9.822222222222223e-05, 'distance': 44.66290202747888, 'message_size_bits': 5304}
[2025-03-07 14:05:29,855] [INFO] [30156] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,046] [INFO] [30156] PREPARE received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:30,046] [INFO] [30156] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:30,593] [INFO] [30156] PREPARE received from 30034 for REQUEST 1741323929740
[2025-03-07 14:05:30,593] [INFO] [30156] PREPARE received from 30008 for REQUEST 1741323929740
[2025-03-07 14:05:30,831] [INFO] [30156] PREPARE received from 30137 for REQUEST 1741323929740
[2025-03-07 14:05:31,104] [INFO] [30156] COMMIT received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:31,317] [INFO] [30156] PREPARE received from 30166 for REQUEST 1741323929740
[2025-03-07 14:05:31,351] [INFO] [30156] COMMIT received from 30166 for REQUEST 1741323929740
[2025-03-07 14:05:31,351] [INFO] [30156] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30136
[2025-03-07 14:05:31,431] [INFO] [30156] COMMIT received from 30137 for REQUEST 1741323929740
[2025-03-07 14:05:31,507] [INFO] [30156] PREPARE received from 30135 for REQUEST 1741323929740
[2025-03-07 14:05:31,712] [INFO] [30156] PREPARE received from 30195 for REQUEST 1741323929740
[2025-03-07 14:05:31,712] [INFO] [30156] COMMIT received from 30135 for REQUEST 1741323929740
[2025-03-07 14:05:31,741] [INFO] [30156] PREPARE received from 30058 for REQUEST 1741323929740
[2025-03-07 14:05:31,899] [INFO] [30156] PREPARE received from 30031 for REQUEST 1741323929740
[2025-03-07 14:05:31,899] [INFO] [30156] PREPARE received from 30191 for REQUEST 1741323929740
[2025-03-07 14:05:31,915] [INFO] [30156] COMMIT received from 30031 for REQUEST 1741323929740
[2025-03-07 14:05:31,958] [INFO] [30156] COMMIT received from 30195 for REQUEST 1741323929740
[2025-03-07 14:05:32,034] [INFO] [30156] COMMIT received from 30191 for REQUEST 1741323929740
[2025-03-07 14:05:32,116] [INFO] [30156] PREPARE received from 30164 for REQUEST 1741323929740
[2025-03-07 14:05:32,372] [INFO] [30156] COMMIT received from 30164 for REQUEST 1741323929740
[2025-03-07 14:05:32,516] [INFO] [30156] PREPARE received from 30040 for REQUEST 1741323929740
