[2025-03-11 17:49:28,550] [INFO] Node started: localhost:30161 | index=162 | f=1, k=4
[2025-03-11 17:49:38,423] [INFO] [30161] PRE-PREPARE received: {'request_id': 1741682977666, 'data': 'llapbft_message_1741682977666', 'timestamp': 1741682977.7055552, 'leader': 30004, 'cluster_id': 0, 'cluster_ports': [30000, 30004, 30006, 30007, 30011, 30015, 30018, 30023, 30027, 30036, 30039, 30041, 30042, 30043, 30044, 30046, 30049, 30053, 30059, 30061, 30065, 30066, 30070, 30074, 30078, 30083, 30094, 30096, 30098, 30100, 30102, 30104, 30108, 30109, 30110, 30111, 30113, 30115, 30116, 30126, 30131, 30132, 30139, 30147, 30150, 30151, 30154, 30161, 30162, 30170, 30172, 30176, 30177, 30181, 30185, 30187, 30189], 'cluster_manager': {'host': 'localhost', 'port': 30074, 'latitude': 36.6269982, 'longitude': 127.4590819, 'altitude': 88, 'offset_m': 'lat: 44 m, lng: 51 m, alt: 88 m'}, 'simulated_delay': 0, 'distance': 100.6654455934495, 'message_size_bits': 5800}
[2025-03-11 17:49:38,423] [INFO] [30161] Broadcasting PREPARE: REQUEST 1741682977666
[2025-03-11 17:49:39,570] [INFO] [30161] PREPARE received from 30000 for REQUEST 1741682977666
[2025-03-11 17:49:39,570] [INFO] [30161] Broadcasting COMMIT: REQUEST 1741682977666
[2025-03-11 17:49:39,831] [INFO] [30161] PREPARE received from 30113 for REQUEST 1741682977666
[2025-03-11 17:49:39,831] [INFO] [30161] COMMIT received from 30113 for REQUEST 1741682977666
[2025-03-11 17:49:40,028] [INFO] [30161] COMMIT received from 30007 for REQUEST 1741682977666
[2025-03-11 17:49:40,028] [INFO] [30161] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682977666 directly to Manager 30074
[2025-03-11 17:49:40,028] [INFO] [30161] PREPARE received from 30007 for REQUEST 1741682977666
[2025-03-11 17:49:40,124] [INFO] [30161] COMMIT received from 30000 for REQUEST 1741682977666
[2025-03-11 17:49:40,201] [INFO] [30161] PREPARE received from 30041 for REQUEST 1741682977666
[2025-03-11 17:49:40,223] [INFO] [30161] COMMIT received from 30041 for REQUEST 1741682977666
[2025-03-11 17:49:40,480] [INFO] [30161] COMMIT received from 30053 for REQUEST 1741682977666
[2025-03-11 17:49:40,480] [INFO] [30161] PREPARE received from 30053 for REQUEST 1741682977666
