[2025-03-11 17:49:29,354] [INFO] Node started: localhost:30165 | index=166 | f=1, k=4
[2025-03-11 17:49:37,875] [INFO] [30165] PRE-PREPARE received: {'request_id': 1741682977666, 'data': 'llapbft_message_1741682977666', 'timestamp': 1741682977.7055552, 'leader': 30118, 'cluster_id': 2, 'cluster_ports': [30001, 30009, 30012, 30013, 30014, 30016, 30025, 30029, 30037, 30038, 30047, 30051, 30052, 30057, 30060, 30063, 30072, 30073, 30075, 30079, 30082, 30085, 30087, 30088, 30089, 30092, 30093, 30095, 30105, 30106, 30112, 30114, 30118, 30121, 30122, 30127, 30129, 30130, 30133, 30138, 30142, 30143, 30145, 30157, 30165, 30168, 30169, 30171, 30184, 30196, 30198, 30199], 'cluster_manager': {'host': 'localhost', 'port': 30029, 'latitude': 36.6266259, 'longitude': 127.4590111, 'altitude': 13, 'offset_m': 'lat: 2 m, lng: 45 m, alt: 13 m'}, 'simulated_delay': 0.00022966666666666667, 'distance': 149.10831401594658, 'message_size_bits': 5512}
[2025-03-11 17:49:37,886] [INFO] [30165] Broadcasting PREPARE: REQUEST 1741682977666
[2025-03-11 17:49:38,387] [INFO] [30165] PREPARE received from 30122 for REQUEST 1741682977666
[2025-03-11 17:49:38,387] [INFO] [30165] Broadcasting COMMIT: REQUEST 1741682977666
[2025-03-11 17:49:38,395] [INFO] [30165] PREPARE received from 30143 for REQUEST 1741682977666
[2025-03-11 17:49:38,395] [INFO] [30165] PREPARE received from 30087 for REQUEST 1741682977666
[2025-03-11 17:49:38,886] [INFO] [30165] PREPARE received from 30114 for REQUEST 1741682977666
[2025-03-11 17:49:39,491] [INFO] [30165] PREPARE received from 30092 for REQUEST 1741682977666
[2025-03-11 17:49:39,586] [INFO] [30165] PREPARE received from 30095 for REQUEST 1741682977666
[2025-03-11 17:49:39,678] [INFO] [30165] COMMIT received from 30087 for REQUEST 1741682977666
[2025-03-11 17:49:39,678] [INFO] [30165] COMMIT received from 30122 for REQUEST 1741682977666
[2025-03-11 17:49:39,678] [INFO] [30165] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682977666 directly to Manager 30029
[2025-03-11 17:49:39,678] [INFO] [30165] COMMIT received from 30114 for REQUEST 1741682977666
[2025-03-11 17:49:39,680] [INFO] [30165] PREPARE received from 30142 for REQUEST 1741682977666
[2025-03-11 17:49:39,807] [INFO] [30165] PREPARE received from 30169 for REQUEST 1741682977666
[2025-03-11 17:49:39,813] [INFO] [30165] COMMIT received from 30143 for REQUEST 1741682977666
[2025-03-11 17:49:39,854] [INFO] [30165] PREPARE received from 30138 for REQUEST 1741682977666
[2025-03-11 17:49:39,938] [INFO] [30165] COMMIT received from 30169 for REQUEST 1741682977666
[2025-03-11 17:49:40,210] [INFO] [30165] COMMIT received from 30138 for REQUEST 1741682977666
[2025-03-11 17:49:40,261] [INFO] [30165] PREPARE received from 30079 for REQUEST 1741682977666
[2025-03-11 17:49:40,350] [INFO] [30165] PREPARE received from 30112 for REQUEST 1741682977666
[2025-03-11 17:49:40,376] [INFO] [30165] COMMIT received from 30079 for REQUEST 1741682977666
[2025-03-11 17:49:40,376] [INFO] [30165] PREPARE received from 30047 for REQUEST 1741682977666
[2025-03-11 17:49:40,376] [INFO] [30165] COMMIT received from 30092 for REQUEST 1741682977666
[2025-03-11 17:49:40,376] [INFO] [30165] COMMIT received from 30112 for REQUEST 1741682977666
[2025-03-11 17:49:40,376] [INFO] [30165] PREPARE received from 30184 for REQUEST 1741682977666
[2025-03-11 17:49:40,376] [INFO] [30165] COMMIT received from 30184 for REQUEST 1741682977666
[2025-03-11 17:49:40,503] [INFO] [30165] COMMIT received from 30047 for REQUEST 1741682977666
[2025-03-11 17:49:40,530] [INFO] [30165] PREPARE received from 30088 for REQUEST 1741682977666
[2025-03-11 17:49:40,577] [INFO] [30165] COMMIT received from 30088 for REQUEST 1741682977666
[2025-03-11 17:49:40,654] [INFO] [30165] COMMIT received from 30142 for REQUEST 1741682977666
[2025-03-11 17:49:40,817] [INFO] [30165] PREPARE received from 30012 for REQUEST 1741682977666
[2025-03-11 17:49:40,834] [INFO] [30165] COMMIT received from 30012 for REQUEST 1741682977666
[2025-03-11 17:49:40,958] [INFO] [30165] PREPARE received from 30105 for REQUEST 1741682977666
[2025-03-11 17:49:40,958] [INFO] [30165] COMMIT received from 30105 for REQUEST 1741682977666
[2025-03-11 17:49:41,042] [INFO] [30165] PREPARE received from 30057 for REQUEST 1741682977666
[2025-03-11 17:49:41,447] [INFO] [30165] PREPARE received from 30038 for REQUEST 1741682977666
[2025-03-11 17:49:41,447] [INFO] [30165] PREPARE received from 30168 for REQUEST 1741682977666
[2025-03-11 17:49:41,447] [INFO] [30165] COMMIT received from 30168 for REQUEST 1741682977666
[2025-03-11 17:49:41,467] [INFO] [30165] COMMIT received from 30038 for REQUEST 1741682977666
[2025-03-11 17:49:41,896] [INFO] [30165] COMMIT received from 30095 for REQUEST 1741682977666
[2025-03-11 17:49:41,903] [INFO] [30165] PREPARE received from 30016 for REQUEST 1741682977666
[2025-03-11 17:49:41,970] [INFO] [30165] COMMIT received from 30016 for REQUEST 1741682977666
[2025-03-11 17:49:42,016] [INFO] [30165] COMMIT received from 30057 for REQUEST 1741682977666
[2025-03-11 17:49:42,020] [INFO] [30165] PREPARE received from 30072 for REQUEST 1741682977666
[2025-03-11 17:49:42,093] [INFO] [30165] PREPARE received from 30089 for REQUEST 1741682977666
[2025-03-11 17:49:42,093] [INFO] [30165] COMMIT received from 30072 for REQUEST 1741682977666
[2025-03-11 17:49:42,093] [INFO] [30165] COMMIT received from 30118 for REQUEST 1741682977666
[2025-03-11 17:49:42,120] [INFO] [30165] PREPARE received from 30198 for REQUEST 1741682977666
[2025-03-11 17:49:42,122] [INFO] [30165] PREPARE received from 30106 for REQUEST 1741682977666
[2025-03-11 17:49:42,122] [INFO] [30165] COMMIT received from 30198 for REQUEST 1741682977666
[2025-03-11 17:49:42,140] [INFO] [30165] PREPARE received from 30085 for REQUEST 1741682977666
[2025-03-11 17:49:42,160] [INFO] [30165] PREPARE received from 30093 for REQUEST 1741682977666
[2025-03-11 17:49:42,188] [INFO] [30165] COMMIT received from 30093 for REQUEST 1741682977666
[2025-03-11 17:49:42,203] [INFO] [30165] COMMIT received from 30085 for REQUEST 1741682977666
[2025-03-11 17:49:42,203] [INFO] [30165] COMMIT received from 30106 for REQUEST 1741682977666
[2025-03-11 17:49:42,320] [INFO] [30165] COMMIT received from 30089 for REQUEST 1741682977666
[2025-03-11 17:49:42,320] [INFO] [30165] COMMIT received from 30073 for REQUEST 1741682977666
[2025-03-11 17:49:42,322] [INFO] [30165] PREPARE received from 30073 for REQUEST 1741682977666
[2025-03-11 17:49:42,338] [INFO] [30165] PREPARE received from 30145 for REQUEST 1741682977666
[2025-03-11 17:49:42,338] [INFO] [30165] COMMIT received from 30145 for REQUEST 1741682977666
[2025-03-11 17:49:42,408] [INFO] [30165] PREPARE received from 30014 for REQUEST 1741682977666
[2025-03-11 17:49:42,408] [INFO] [30165] COMMIT received from 30014 for REQUEST 1741682977666
[2025-03-11 17:49:42,518] [INFO] [30165] PREPARE received from 30025 for REQUEST 1741682977666
[2025-03-11 17:49:42,530] [INFO] [30165] COMMIT received from 30025 for REQUEST 1741682977666
[2025-03-11 17:49:42,735] [INFO] [30165] PREPARE received from 30013 for REQUEST 1741682977666
[2025-03-11 17:49:42,735] [INFO] [30165] PREPARE received from 30052 for REQUEST 1741682977666
[2025-03-11 17:49:42,735] [INFO] [30165] COMMIT received from 30013 for REQUEST 1741682977666
[2025-03-11 17:49:42,735] [INFO] [30165] COMMIT received from 30052 for REQUEST 1741682977666
[2025-03-11 17:49:42,866] [INFO] [30165] PREPARE received from 30051 for REQUEST 1741682977666
[2025-03-11 17:49:42,866] [INFO] [30165] PREPARE received from 30082 for REQUEST 1741682977666
[2025-03-11 17:49:42,882] [INFO] [30165] COMMIT received from 30082 for REQUEST 1741682977666
[2025-03-11 17:49:42,882] [INFO] [30165] COMMIT received from 30127 for REQUEST 1741682977666
[2025-03-11 17:49:42,882] [INFO] [30165] COMMIT received from 30051 for REQUEST 1741682977666
[2025-03-11 17:49:42,886] [INFO] [30165] PREPARE received from 30127 for REQUEST 1741682977666
[2025-03-11 17:49:42,886] [INFO] [30165] PREPARE received from 30009 for REQUEST 1741682977666
[2025-03-11 17:49:42,886] [INFO] [30165] COMMIT received from 30009 for REQUEST 1741682977666
[2025-03-11 17:49:43,104] [INFO] [30165] PREPARE received from 30060 for REQUEST 1741682977666
[2025-03-11 17:49:43,104] [INFO] [30165] COMMIT received from 30060 for REQUEST 1741682977666
[2025-03-11 17:49:43,224] [INFO] [30165] PREPARE received from 30199 for REQUEST 1741682977666
[2025-03-11 17:49:43,224] [INFO] [30165] PREPARE received from 30157 for REQUEST 1741682977666
[2025-03-11 17:49:43,224] [INFO] [30165] COMMIT received from 30199 for REQUEST 1741682977666
[2025-03-11 17:49:43,239] [INFO] [30165] COMMIT received from 30157 for REQUEST 1741682977666
[2025-03-11 17:49:43,288] [INFO] [30165] PREPARE received from 30001 for REQUEST 1741682977666
[2025-03-11 17:49:43,288] [INFO] [30165] COMMIT received from 30001 for REQUEST 1741682977666
[2025-03-11 17:49:43,405] [INFO] [30165] PREPARE received from 30063 for REQUEST 1741682977666
[2025-03-11 17:49:43,407] [INFO] [30165] COMMIT received from 30063 for REQUEST 1741682977666
[2025-03-11 17:49:43,488] [INFO] [30165] PREPARE received from 30129 for REQUEST 1741682977666
[2025-03-11 17:49:43,508] [INFO] [30165] COMMIT received from 30129 for REQUEST 1741682977666
[2025-03-11 17:49:43,538] [INFO] [30165] PREPARE received from 30171 for REQUEST 1741682977666
[2025-03-11 17:49:43,538] [INFO] [30165] PREPARE received from 30130 for REQUEST 1741682977666
[2025-03-11 17:49:43,540] [INFO] [30165] COMMIT received from 30130 for REQUEST 1741682977666
[2025-03-11 17:49:43,544] [INFO] [30165] COMMIT received from 30171 for REQUEST 1741682977666
[2025-03-11 17:49:43,581] [INFO] [30165] PREPARE received from 30196 for REQUEST 1741682977666
[2025-03-11 17:49:43,583] [INFO] [30165] COMMIT received from 30196 for REQUEST 1741682977666
[2025-03-11 17:49:43,788] [INFO] [30165] PREPARE received from 30133 for REQUEST 1741682977666
[2025-03-11 17:49:43,793] [INFO] [30165] COMMIT received from 30133 for REQUEST 1741682977666
[2025-03-11 17:49:43,832] [INFO] [30165] PREPARE received from 30075 for REQUEST 1741682977666
[2025-03-11 17:49:43,834] [INFO] [30165] COMMIT received from 30075 for REQUEST 1741682977666
[2025-03-11 17:49:43,927] [INFO] [30165] PREPARE received from 30121 for REQUEST 1741682977666
[2025-03-11 17:49:43,927] [INFO] [30165] COMMIT received from 30121 for REQUEST 1741682977666
[2025-03-11 17:49:44,029] [INFO] [30165] PREPARE received from 30037 for REQUEST 1741682977666
[2025-03-11 17:49:44,042] [INFO] [30165] COMMIT received from 30037 for REQUEST 1741682977666
