[2025-03-11 17:49:33,184] [INFO] Node started: localhost:30184 | index=185 | f=1, k=4
[2025-03-11 17:49:37,873] [INFO] [30184] PRE-PREPARE received: {'request_id': 1741682977666, 'data': 'llapbft_message_1741682977666', 'timestamp': 1741682977.7055552, 'leader': 30118, 'cluster_id': 2, 'cluster_ports': [30001, 30009, 30012, 30013, 30014, 30016, 30025, 30029, 30037, 30038, 30047, 30051, 30052, 30057, 30060, 30063, 30072, 30073, 30075, 30079, 30082, 30085, 30087, 30088, 30089, 30092, 30093, 30095, 30105, 30106, 30112, 30114, 30118, 30121, 30122, 30127, 30129, 30130, 30133, 30138, 30142, 30143, 30145, 30157, 30165, 30168, 30169, 30171, 30184, 30196, 30198, 30199], 'cluster_manager': {'host': 'localhost', 'port': 30029, 'latitude': 36.6266259, 'longitude': 127.4590111, 'altitude': 13, 'offset_m': 'lat: 2 m, lng: 45 m, alt: 13 m'}, 'simulated_delay': 0, 'distance': 200.35485043650954, 'message_size_bits': 5512}
[2025-03-11 17:49:37,873] [INFO] [30184] Broadcasting PREPARE: REQUEST 1741682977666
[2025-03-11 17:49:38,476] [INFO] [30184] PREPARE received from 30087 for REQUEST 1741682977666
[2025-03-11 17:49:38,478] [INFO] [30184] Broadcasting COMMIT: REQUEST 1741682977666
[2025-03-11 17:49:38,478] [INFO] [30184] PREPARE received from 30114 for REQUEST 1741682977666
[2025-03-11 17:49:38,672] [INFO] [30184] PREPARE received from 30079 for REQUEST 1741682977666
[2025-03-11 17:49:39,147] [INFO] [30184] PREPARE received from 30165 for REQUEST 1741682977666
[2025-03-11 17:49:39,795] [INFO] [30184] PREPARE received from 30143 for REQUEST 1741682977666
[2025-03-11 17:49:39,885] [INFO] [30184] PREPARE received from 30051 for REQUEST 1741682977666
[2025-03-11 17:49:39,885] [INFO] [30184] COMMIT received from 30169 for REQUEST 1741682977666
[2025-03-11 17:49:39,885] [INFO] [30184] PREPARE received from 30169 for REQUEST 1741682977666
[2025-03-11 17:49:39,885] [INFO] [30184] COMMIT received from 30087 for REQUEST 1741682977666
[2025-03-11 17:49:39,885] [INFO] [30184] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682977666 directly to Manager 30029
[2025-03-11 17:49:39,933] [INFO] [30184] PREPARE received from 30122 for REQUEST 1741682977666
[2025-03-11 17:49:39,933] [INFO] [30184] COMMIT received from 30143 for REQUEST 1741682977666
[2025-03-11 17:49:39,933] [INFO] [30184] COMMIT received from 30114 for REQUEST 1741682977666
[2025-03-11 17:49:40,055] [INFO] [30184] COMMIT received from 30079 for REQUEST 1741682977666
[2025-03-11 17:49:40,134] [INFO] [30184] COMMIT received from 30165 for REQUEST 1741682977666
[2025-03-11 17:49:40,134] [INFO] [30184] COMMIT received from 30122 for REQUEST 1741682977666
[2025-03-11 17:49:40,748] [INFO] [30184] PREPARE received from 30105 for REQUEST 1741682977666
[2025-03-11 17:49:40,748] [INFO] [30184] COMMIT received from 30105 for REQUEST 1741682977666
[2025-03-11 17:49:40,958] [INFO] [30184] PREPARE received from 30012 for REQUEST 1741682977666
[2025-03-11 17:49:40,958] [INFO] [30184] COMMIT received from 30012 for REQUEST 1741682977666
[2025-03-11 17:49:41,042] [INFO] [30184] PREPARE received from 30047 for REQUEST 1741682977666
[2025-03-11 17:49:41,042] [INFO] [30184] COMMIT received from 30051 for REQUEST 1741682977666
[2025-03-11 17:49:41,079] [INFO] [30184] COMMIT received from 30047 for REQUEST 1741682977666
[2025-03-11 17:49:41,338] [INFO] [30184] PREPARE received from 30038 for REQUEST 1741682977666
[2025-03-11 17:49:41,423] [INFO] [30184] COMMIT received from 30038 for REQUEST 1741682977666
[2025-03-11 17:49:41,683] [INFO] [30184] PREPARE received from 30112 for REQUEST 1741682977666
[2025-03-11 17:49:41,692] [INFO] [30184] PREPARE received from 30057 for REQUEST 1741682977666
[2025-03-11 17:49:41,692] [INFO] [30184] COMMIT received from 30112 for REQUEST 1741682977666
[2025-03-11 17:49:41,990] [INFO] [30184] PREPARE received from 30142 for REQUEST 1741682977666
[2025-03-11 17:49:42,020] [INFO] [30184] COMMIT received from 30057 for REQUEST 1741682977666
[2025-03-11 17:49:42,058] [INFO] [30184] COMMIT received from 30118 for REQUEST 1741682977666
[2025-03-11 17:49:42,116] [INFO] [30184] PREPARE received from 30138 for REQUEST 1741682977666
[2025-03-11 17:49:42,168] [INFO] [30184] COMMIT received from 30142 for REQUEST 1741682977666
[2025-03-11 17:49:42,240] [INFO] [30184] COMMIT received from 30138 for REQUEST 1741682977666
[2025-03-11 17:49:42,377] [INFO] [30184] PREPARE received from 30016 for REQUEST 1741682977666
[2025-03-11 17:49:42,377] [INFO] [30184] COMMIT received from 30016 for REQUEST 1741682977666
[2025-03-11 17:49:42,489] [INFO] [30184] PREPARE received from 30014 for REQUEST 1741682977666
[2025-03-11 17:49:42,489] [INFO] [30184] COMMIT received from 30014 for REQUEST 1741682977666
[2025-03-11 17:49:42,692] [INFO] [30184] PREPARE received from 30145 for REQUEST 1741682977666
[2025-03-11 17:49:42,692] [INFO] [30184] PREPARE received from 30082 for REQUEST 1741682977666
[2025-03-11 17:49:42,694] [INFO] [30184] COMMIT received from 30082 for REQUEST 1741682977666
