[2025-03-20 12:12:16,230] [INFO] Node started: localhost:30020 | index= 21 | f=1, k=4
[2025-03-20 12:12:26,637] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30020 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781088 bit
[2025-03-20 12:12:26,651] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30020 | Distance:    0.00 m | Delay: N/A | Size: 16779912 bit
[2025-03-20 12:12:27,720] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,797] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:27,811] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:12:28,607] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,650] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,662] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:34,653] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30020 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781080 bit
[2025-03-20 12:12:34,653] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30020 | Distance:    0.00 m | Delay: N/A | Size: 16779912 bit
[2025-03-20 12:12:35,755] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:35,838] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:35,862] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:36,566] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,619] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
