[2025-03-07 14:00:27,034] [INFO] Node started: localhost:30024 | index=25 | f=1, k=4
[2025-03-07 14:04:56,976] [INFO] Node started: localhost:30024 | index=25 | f=1, k=4
[2025-03-07 14:05:29,832] [INFO] [30024] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30149, 'cluster_id': 3, 'cluster_ports': [30002, 30005, 30008, 30010, 30017, 30021, 30024, 30031, 30034, 30035, 30040, 30048, 30054, 30055, 30056, 30058, 30076, 30081, 30084, 30090, 30091, 30101, 30103, 30107, 30120, 30123, 30124, 30135, 30136, 30137, 30144, 30149, 30152, 30156, 30158, 30163, 30164, 30166, 30173, 30174, 30175, 30178, 30183, 30186, 30188, 30191, 30193, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30136, 'latitude': 36.6273945, 'longitude': 127.4590786, 'altitude': 185, 'offset_m': 'lat: 88 m, lng: 51 m, alt: 185 m'}, 'simulated_delay': 0.000221, 'distance': 124.96497249391204, 'message_size_bits': 5304}
[2025-03-07 14:05:29,861] [INFO] [30024] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,066] [INFO] [30024] PREPARE received from 30191 for REQUEST 1741323929740
[2025-03-07 14:05:30,066] [INFO] [30024] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:30,066] [INFO] [30024] PREPARE received from 30101 for REQUEST 1741323929740
[2025-03-07 14:05:30,190] [INFO] [30024] PREPARE received from 30193 for REQUEST 1741323929740
[2025-03-07 14:05:30,239] [INFO] [30024] PREPARE received from 30076 for REQUEST 1741323929740
[2025-03-07 14:05:30,241] [INFO] [30024] PREPARE received from 30005 for REQUEST 1741323929740
[2025-03-07 14:05:30,426] [INFO] [30024] PREPARE received from 30107 for REQUEST 1741323929740
[2025-03-07 14:05:30,427] [INFO] [30024] PREPARE received from 30195 for REQUEST 1741323929740
[2025-03-07 14:05:30,427] [INFO] [30024] PREPARE received from 30081 for REQUEST 1741323929740
[2025-03-07 14:05:30,427] [INFO] [30024] PREPARE received from 30183 for REQUEST 1741323929740
[2025-03-07 14:05:30,514] [INFO] [30024] PREPARE received from 30124 for REQUEST 1741323929740
[2025-03-07 14:05:30,815] [INFO] [30024] PREPARE received from 30174 for REQUEST 1741323929740
[2025-03-07 14:05:30,815] [INFO] [30024] PREPARE received from 30178 for REQUEST 1741323929740
[2025-03-07 14:05:30,815] [INFO] [30024] PREPARE received from 30035 for REQUEST 1741323929740
[2025-03-07 14:05:31,219] [INFO] [30024] PREPARE received from 30002 for REQUEST 1741323929740
[2025-03-07 14:05:31,528] [INFO] [30024] COMMIT received from 30101 for REQUEST 1741323929740
[2025-03-07 14:05:31,528] [INFO] [30024] COMMIT received from 30191 for REQUEST 1741323929740
[2025-03-07 14:05:31,528] [INFO] [30024] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30136
[2025-03-07 14:05:31,530] [INFO] [30024] COMMIT received from 30195 for REQUEST 1741323929740
[2025-03-07 14:05:31,530] [INFO] [30024] PREPARE received from 30091 for REQUEST 1741323929740
[2025-03-07 14:05:31,530] [INFO] [30024] PREPARE received from 30144 for REQUEST 1741323929740
[2025-03-07 14:05:31,530] [INFO] [30024] COMMIT received from 30076 for REQUEST 1741323929740
[2025-03-07 14:05:31,532] [INFO] [30024] COMMIT received from 30107 for REQUEST 1741323929740
[2025-03-07 14:05:31,928] [INFO] [30024] COMMIT received from 30183 for REQUEST 1741323929740
[2025-03-07 14:05:31,928] [INFO] [30024] COMMIT received from 30174 for REQUEST 1741323929740
[2025-03-07 14:05:31,928] [INFO] [30024] COMMIT received from 30144 for REQUEST 1741323929740
[2025-03-07 14:05:31,928] [INFO] [30024] COMMIT received from 30031 for REQUEST 1741323929740
[2025-03-07 14:05:31,930] [INFO] [30024] COMMIT received from 30081 for REQUEST 1741323929740
[2025-03-07 14:05:31,930] [INFO] [30024] COMMIT received from 30124 for REQUEST 1741323929740
[2025-03-07 14:05:31,930] [INFO] [30024] COMMIT received from 30193 for REQUEST 1741323929740
[2025-03-07 14:05:31,930] [INFO] [30024] COMMIT received from 30091 for REQUEST 1741323929740
[2025-03-07 14:05:32,079] [INFO] [30024] PREPARE received from 30152 for REQUEST 1741323929740
[2025-03-07 14:05:32,079] [INFO] [30024] PREPARE received from 30031 for REQUEST 1741323929740
[2025-03-07 14:05:32,079] [INFO] [30024] COMMIT received from 30152 for REQUEST 1741323929740
[2025-03-07 14:05:32,190] [INFO] [30024] PREPARE received from 30058 for REQUEST 1741323929740
[2025-03-07 14:05:32,291] [INFO] [30024] COMMIT received from 30005 for REQUEST 1741323929740
[2025-03-07 14:05:32,294] [INFO] [30024] PREPARE received from 30048 for REQUEST 1741323929740
[2025-03-07 14:05:32,294] [INFO] [30024] PREPARE received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:32,294] [INFO] [30024] COMMIT received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:32,379] [INFO] [30024] COMMIT received from 30048 for REQUEST 1741323929740
[2025-03-07 14:05:32,381] [INFO] [30024] PREPARE received from 30123 for REQUEST 1741323929740
[2025-03-07 14:05:32,477] [INFO] [30024] COMMIT received from 30123 for REQUEST 1741323929740
[2025-03-07 14:05:32,650] [INFO] [30024] PREPARE received from 30054 for REQUEST 1741323929740
[2025-03-07 14:05:32,713] [INFO] [30024] COMMIT received from 30137 for REQUEST 1741323929740
[2025-03-07 14:05:32,713] [INFO] [30024] PREPARE received from 30137 for REQUEST 1741323929740
[2025-03-07 14:05:32,914] [INFO] [30024] PREPARE received from 30040 for REQUEST 1741323929740
[2025-03-07 14:05:32,920] [INFO] [30024] COMMIT received from 30054 for REQUEST 1741323929740
[2025-03-07 14:05:32,920] [INFO] [30024] COMMIT received from 30040 for REQUEST 1741323929740
[2025-03-07 14:05:32,951] [INFO] [30024] COMMIT received from 30178 for REQUEST 1741323929740
[2025-03-07 14:05:33,235] [INFO] [30024] PREPARE received from 30163 for REQUEST 1741323929740
[2025-03-07 14:05:33,235] [INFO] [30024] PREPARE received from 30021 for REQUEST 1741323929740
[2025-03-07 14:05:33,237] [INFO] [30024] COMMIT received from 30002 for REQUEST 1741323929740
[2025-03-07 14:05:33,237] [INFO] [30024] COMMIT received from 30163 for REQUEST 1741323929740
[2025-03-07 14:05:33,254] [INFO] [30024] PREPARE received from 30103 for REQUEST 1741323929740
[2025-03-07 14:05:33,344] [INFO] [30024] COMMIT received from 30035 for REQUEST 1741323929740
[2025-03-07 14:05:33,352] [INFO] [30024] COMMIT received from 30103 for REQUEST 1741323929740
[2025-03-07 14:05:33,405] [INFO] [30024] COMMIT received from 30017 for REQUEST 1741323929740
[2025-03-07 14:05:33,447] [INFO] [30024] PREPARE received from 30017 for REQUEST 1741323929740
[2025-03-07 14:05:33,632] [INFO] [30024] COMMIT received from 30021 for REQUEST 1741323929740
[2025-03-07 14:05:33,778] [INFO] [30024] PREPARE received from 30008 for REQUEST 1741323929740
[2025-03-07 14:05:33,792] [INFO] [30024] COMMIT received from 30008 for REQUEST 1741323929740
[2025-03-07 14:05:33,979] [INFO] [30024] COMMIT received from 30149 for REQUEST 1741323929740
[2025-03-07 14:05:34,039] [INFO] [30024] COMMIT received from 30058 for REQUEST 1741323929740
[2025-03-07 14:05:34,257] [INFO] [30024] PREPARE received from 30055 for REQUEST 1741323929740
[2025-03-07 14:05:34,310] [INFO] [30024] PREPARE received from 30120 for REQUEST 1741323929740
[2025-03-07 14:05:34,441] [INFO] [30024] COMMIT received from 30055 for REQUEST 1741323929740
[2025-03-07 14:05:34,463] [INFO] [30024] PREPARE received from 30010 for REQUEST 1741323929740
[2025-03-07 14:05:34,507] [INFO] [30024] PREPARE received from 30164 for REQUEST 1741323929740
[2025-03-07 14:05:34,507] [INFO] [30024] COMMIT received from 30164 for REQUEST 1741323929740
[2025-03-07 14:05:34,572] [INFO] [30024] COMMIT received from 30010 for REQUEST 1741323929740
[2025-03-07 14:05:34,766] [INFO] [30024] COMMIT received from 30120 for REQUEST 1741323929740
[2025-03-07 14:05:35,036] [INFO] [30024] PREPARE received from 30034 for REQUEST 1741323929740
[2025-03-07 14:05:35,054] [INFO] [30024] PREPARE received from 30090 for REQUEST 1741323929740
[2025-03-07 14:05:35,054] [INFO] [30024] COMMIT received from 30090 for REQUEST 1741323929740
[2025-03-07 14:05:35,054] [INFO] [30024] COMMIT received from 30034 for REQUEST 1741323929740
[2025-03-07 14:05:35,556] [INFO] [30024] COMMIT received from 30158 for REQUEST 1741323929740
[2025-03-07 14:05:35,556] [INFO] [30024] COMMIT received from 30175 for REQUEST 1741323929740
[2025-03-07 14:05:35,556] [INFO] [30024] PREPARE received from 30175 for REQUEST 1741323929740
