[2025-03-07 14:00:27,436] [INFO] Node started: localhost:30025 | index=26 | f=1, k=4
[2025-03-07 14:04:57,087] [INFO] Node started: localhost:30025 | index=26 | f=1, k=4
[2025-03-07 14:05:29,803] [INFO] [30025] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30118, 'cluster_id': 2, 'cluster_ports': [30001, 30009, 30012, 30013, 30014, 30016, 30025, 30029, 30037, 30038, 30047, 30051, 30052, 30057, 30060, 30063, 30072, 30073, 30075, 30079, 30082, 30085, 30087, 30088, 30089, 30092, 30093, 30095, 30105, 30106, 30112, 30114, 30118, 30121, 30122, 30127, 30129, 30130, 30133, 30138, 30142, 30143, 30145, 30157, 30165, 30168, 30169, 30171, 30184, 30196, 30198, 30199], 'cluster_manager': {'host': 'localhost', 'port': 30029, 'latitude': 36.6266259, 'longitude': 127.4590111, 'altitude': 13, 'offset_m': 'lat: 2 m, lng: 45 m, alt: 13 m'}, 'simulated_delay': 0.00015288888888888888, 'distance': 51.94753911429392, 'message_size_bits': 5504}
[2025-03-07 14:05:29,810] [INFO] [30025] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,158] [INFO] [30025] PREPARE received from 30145 for REQUEST 1741323929740
[2025-03-07 14:05:30,158] [INFO] [30025] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:30,160] [INFO] [30025] PREPARE received from 30038 for REQUEST 1741323929740
[2025-03-07 14:05:30,162] [INFO] [30025] PREPARE received from 30121 for REQUEST 1741323929740
[2025-03-07 14:05:30,162] [INFO] [30025] PREPARE received from 30037 for REQUEST 1741323929740
[2025-03-07 14:05:30,162] [INFO] [30025] PREPARE received from 30196 for REQUEST 1741323929740
[2025-03-07 14:05:30,162] [INFO] [30025] PREPARE received from 30199 for REQUEST 1741323929740
[2025-03-07 14:05:30,164] [INFO] [30025] PREPARE received from 30133 for REQUEST 1741323929740
[2025-03-07 14:05:30,215] [INFO] [30025] PREPARE received from 30092 for REQUEST 1741323929740
[2025-03-07 14:05:30,627] [INFO] [30025] PREPARE received from 30095 for REQUEST 1741323929740
[2025-03-07 14:05:30,627] [INFO] [30025] PREPARE received from 30013 for REQUEST 1741323929740
[2025-03-07 14:05:30,627] [INFO] [30025] PREPARE received from 30093 for REQUEST 1741323929740
[2025-03-07 14:05:30,783] [INFO] [30025] PREPARE received from 30085 for REQUEST 1741323929740
[2025-03-07 14:05:30,783] [INFO] [30025] PREPARE received from 30075 for REQUEST 1741323929740
[2025-03-07 14:05:30,783] [INFO] [30025] PREPARE received from 30051 for REQUEST 1741323929740
[2025-03-07 14:05:30,788] [INFO] [30025] PREPARE received from 30129 for REQUEST 1741323929740
[2025-03-07 14:05:31,241] [INFO] [30025] PREPARE received from 30063 for REQUEST 1741323929740
[2025-03-07 14:05:31,243] [INFO] [30025] PREPARE received from 30052 for REQUEST 1741323929740
[2025-03-07 14:05:32,487] [INFO] [30025] PREPARE received from 30016 for REQUEST 1741323929740
[2025-03-07 14:05:32,489] [INFO] [30025] PREPARE received from 30184 for REQUEST 1741323929740
[2025-03-07 14:05:32,489] [INFO] [30025] PREPARE received from 30157 for REQUEST 1741323929740
[2025-03-07 14:05:33,250] [INFO] [30025] COMMIT received from 30157 for REQUEST 1741323929740
[2025-03-07 14:05:33,250] [INFO] [30025] COMMIT received from 30133 for REQUEST 1741323929740
[2025-03-07 14:05:33,250] [INFO] [30025] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30029
[2025-03-07 14:05:33,254] [INFO] [30025] COMMIT received from 30196 for REQUEST 1741323929740
[2025-03-07 14:05:33,254] [INFO] [30025] COMMIT received from 30199 for REQUEST 1741323929740
[2025-03-07 14:05:33,525] [INFO] [30025] PREPARE received from 30142 for REQUEST 1741323929740
[2025-03-07 14:05:33,527] [INFO] [30025] COMMIT received from 30037 for REQUEST 1741323929740
[2025-03-07 14:05:33,527] [INFO] [30025] PREPARE received from 30168 for REQUEST 1741323929740
[2025-03-07 14:05:33,656] [INFO] [30025] COMMIT received from 30121 for REQUEST 1741323929740
[2025-03-07 14:05:33,656] [INFO] [30025] COMMIT received from 30184 for REQUEST 1741323929740
[2025-03-07 14:05:33,656] [INFO] [30025] COMMIT received from 30016 for REQUEST 1741323929740
[2025-03-07 14:05:33,658] [INFO] [30025] COMMIT received from 30051 for REQUEST 1741323929740
[2025-03-07 14:05:33,658] [INFO] [30025] COMMIT received from 30129 for REQUEST 1741323929740
[2025-03-07 14:05:33,658] [INFO] [30025] PREPARE received from 30057 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] COMMIT received from 30145 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] COMMIT received from 30038 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] COMMIT received from 30092 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] PREPARE received from 30130 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] PREPARE received from 30198 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] PREPARE received from 30088 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30025] COMMIT received from 30013 for REQUEST 1741323929740
[2025-03-07 14:05:33,904] [INFO] [30025] PREPARE received from 30143 for REQUEST 1741323929740
[2025-03-07 14:05:33,906] [INFO] [30025] PREPARE received from 30072 for REQUEST 1741323929740
[2025-03-07 14:05:33,906] [INFO] [30025] PREPARE received from 30127 for REQUEST 1741323929740
[2025-03-07 14:05:33,906] [INFO] [30025] PREPARE received from 30060 for REQUEST 1741323929740
[2025-03-07 14:05:33,906] [INFO] [30025] PREPARE received from 30138 for REQUEST 1741323929740
[2025-03-07 14:05:33,906] [INFO] [30025] PREPARE received from 30073 for REQUEST 1741323929740
[2025-03-07 14:05:33,908] [INFO] [30025] PREPARE received from 30112 for REQUEST 1741323929740
[2025-03-07 14:05:34,073] [INFO] [30025] COMMIT received from 30198 for REQUEST 1741323929740
[2025-03-07 14:05:34,073] [INFO] [30025] COMMIT received from 30122 for REQUEST 1741323929740
[2025-03-07 14:05:34,073] [INFO] [30025] COMMIT received from 30130 for REQUEST 1741323929740
[2025-03-07 14:05:34,074] [INFO] [30025] COMMIT received from 30171 for REQUEST 1741323929740
[2025-03-07 14:05:34,074] [INFO] [30025] COMMIT received from 30009 for REQUEST 1741323929740
[2025-03-07 14:05:34,074] [INFO] [30025] COMMIT received from 30142 for REQUEST 1741323929740
[2025-03-07 14:05:34,074] [INFO] [30025] COMMIT received from 30088 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30047 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30143 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30127 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30072 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30073 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30085 for REQUEST 1741323929740
[2025-03-07 14:05:34,075] [INFO] [30025] COMMIT received from 30169 for REQUEST 1741323929740
[2025-03-07 14:05:34,076] [INFO] [30025] COMMIT received from 30087 for REQUEST 1741323929740
[2025-03-07 14:05:34,076] [INFO] [30025] PREPARE received from 30106 for REQUEST 1741323929740
[2025-03-07 14:05:34,076] [INFO] [30025] COMMIT received from 30168 for REQUEST 1741323929740
[2025-03-07 14:05:34,076] [INFO] [30025] COMMIT received from 30165 for REQUEST 1741323929740
[2025-03-07 14:05:34,329] [INFO] [30025] PREPARE received from 30169 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] PREPARE received from 30087 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] PREPARE received from 30047 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] COMMIT received from 30063 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] PREPARE received from 30009 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] PREPARE received from 30122 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] COMMIT received from 30095 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] COMMIT received from 30057 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] PREPARE received from 30165 for REQUEST 1741323929740
[2025-03-07 14:05:34,331] [INFO] [30025] PREPARE received from 30171 for REQUEST 1741323929740
[2025-03-07 14:05:34,380] [INFO] [30025] COMMIT received from 30118 for REQUEST 1741323929740
[2025-03-07 14:05:34,446] [INFO] [30025] PREPARE received from 30114 for REQUEST 1741323929740
[2025-03-07 14:05:34,446] [INFO] [30025] COMMIT received from 30052 for REQUEST 1741323929740
[2025-03-07 14:05:34,447] [INFO] [30025] PREPARE received from 30105 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] COMMIT received from 30012 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] PREPARE received from 30014 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] COMMIT received from 30106 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] COMMIT received from 30093 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] PREPARE received from 30012 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] COMMIT received from 30114 for REQUEST 1741323929740
[2025-03-07 14:05:34,473] [INFO] [30025] PREPARE received from 30001 for REQUEST 1741323929740
[2025-03-07 14:05:34,520] [INFO] [30025] COMMIT received from 30001 for REQUEST 1741323929740
[2025-03-07 14:05:34,520] [INFO] [30025] COMMIT received from 30105 for REQUEST 1741323929740
[2025-03-07 14:05:34,520] [INFO] [30025] COMMIT received from 30014 for REQUEST 1741323929740
[2025-03-07 14:05:34,645] [INFO] [30025] COMMIT received from 30075 for REQUEST 1741323929740
[2025-03-07 14:05:34,648] [INFO] [30025] COMMIT received from 30138 for REQUEST 1741323929740
[2025-03-07 14:05:34,803] [INFO] [30025] COMMIT received from 30112 for REQUEST 1741323929740
[2025-03-07 14:05:34,803] [INFO] [30025] PREPARE received from 30079 for REQUEST 1741323929740
[2025-03-07 14:05:34,803] [INFO] [30025] COMMIT received from 30079 for REQUEST 1741323929740
[2025-03-07 14:05:34,998] [INFO] [30025] COMMIT received from 30060 for REQUEST 1741323929740
[2025-03-07 14:05:35,297] [INFO] [30025] PREPARE received from 30089 for REQUEST 1741323929740
[2025-03-07 14:05:35,317] [INFO] [30025] COMMIT received from 30089 for REQUEST 1741323929740
[2025-03-07 14:05:35,744] [INFO] [30025] PREPARE received from 30082 for REQUEST 1741323929740
[2025-03-07 14:05:35,744] [INFO] [30025] COMMIT received from 30082 for REQUEST 1741323929740
[2025-03-07 14:06:33,806] [INFO] Node started: localhost:30025 | index=26 | f=1, k=4
[2025-03-07 14:07:02,111] [INFO] [30025] PRE-PREPARE received: {'request_id': 1741324022032, 'data': 'llapbft_message_1741324022032', 'timestamp': 1741324022.0687447, 'leader': 30086, 'cluster_id': 1, 'cluster_ports': [30005, 30015, 30018, 30024, 30025, 30045, 30047, 30051, 30061, 30069, 30073, 30086, 30103, 30104, 30110, 30112, 30120, 30125, 30126, 30130, 30133, 30140, 30142, 30144, 30145, 30148, 30155, 30158], 'cluster_manager': {'host': 'localhost', 'port': 30018, 'latitude': 36.6268812, 'longitude': 127.4589418, 'altitude': 19, 'offset_m': 'lat: 31 m, lng: 39 m, alt: 19 m'}, 'simulated_delay': 0.000174, 'distance': 111.0191463392572, 'message_size_bits': 4176}
[2025-03-07 14:07:02,111] [INFO] [30025] Broadcasting PREPARE: REQUEST 1741324022032
