[2025-03-07 14:00:27,012] [INFO] Node started: localhost:30030 | index=31 | f=1, k=4
[2025-03-07 14:04:57,288] [INFO] Node started: localhost:30030 | index=31 | f=1, k=4
[2025-03-07 14:05:29,828] [INFO] [30030] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30022, 'cluster_id': 1, 'cluster_ports': [30003, 30019, 30020, 30022, 30026, 30028, 30030, 30032, 30033, 30045, 30050, 30062, 30064, 30067, 30068, 30069, 30071, 30077, 30080, 30086, 30097, 30099, 30117, 30119, 30125, 30128, 30134, 30140, 30141, 30146, 30148, 30153, 30155, 30159, 30160, 30167, 30179, 30180, 30182, 30190, 30192, 30194, 30197], 'cluster_manager': {'host': 'localhost', 'port': 30128, 'latitude': 36.6267082, 'longitude': 127.4594338, 'altitude': 224, 'offset_m': 'lat: 12 m, lng: 83 m, alt: 224 m'}, 'simulated_delay': 0.00020933333333333334, 'distance': 104.55090486284361, 'message_size_bits': 5024}
[2025-03-07 14:05:29,839] [INFO] [30030] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,093] [INFO] [30030] PREPARE received from 30045 for REQUEST 1741323929740
[2025-03-07 14:05:30,093] [INFO] [30030] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:30,093] [INFO] [30030] PREPARE received from 30194 for REQUEST 1741323929740
[2025-03-07 14:05:30,095] [INFO] [30030] PREPARE received from 30192 for REQUEST 1741323929740
[2025-03-07 14:05:30,200] [INFO] [30030] PREPARE received from 30146 for REQUEST 1741323929740
[2025-03-07 14:05:30,200] [INFO] [30030] PREPARE received from 30134 for REQUEST 1741323929740
[2025-03-07 14:05:30,200] [INFO] [30030] PREPARE received from 30197 for REQUEST 1741323929740
[2025-03-07 14:05:30,202] [INFO] [30030] PREPARE received from 30182 for REQUEST 1741323929740
[2025-03-07 14:05:30,202] [INFO] [30030] PREPARE received from 30064 for REQUEST 1741323929740
[2025-03-07 14:05:30,223] [INFO] [30030] PREPARE received from 30159 for REQUEST 1741323929740
[2025-03-07 14:05:30,241] [INFO] [30030] PREPARE received from 30117 for REQUEST 1741323929740
[2025-03-07 14:05:30,316] [INFO] [30030] PREPARE received from 30099 for REQUEST 1741323929740
[2025-03-07 14:05:30,316] [INFO] [30030] COMMIT received from 30194 for REQUEST 1741323929740
[2025-03-07 14:05:30,318] [INFO] [30030] PREPARE received from 30033 for REQUEST 1741323929740
[2025-03-07 14:05:30,318] [INFO] [30030] PREPARE received from 30069 for REQUEST 1741323929740
[2025-03-07 14:05:30,318] [INFO] [30030] PREPARE received from 30097 for REQUEST 1741323929740
[2025-03-07 14:05:30,477] [INFO] [30030] PREPARE received from 30067 for REQUEST 1741323929740
[2025-03-07 14:05:31,351] [INFO] [30030] COMMIT received from 30197 for REQUEST 1741323929740
[2025-03-07 14:05:31,351] [INFO] [30030] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30128
[2025-03-07 14:05:31,351] [INFO] [30030] PREPARE received from 30077 for REQUEST 1741323929740
[2025-03-07 14:05:31,351] [INFO] [30030] COMMIT received from 30146 for REQUEST 1741323929740
[2025-03-07 14:05:31,351] [INFO] [30030] PREPARE received from 30179 for REQUEST 1741323929740
[2025-03-07 14:05:31,357] [INFO] [30030] PREPARE received from 30071 for REQUEST 1741323929740
[2025-03-07 14:05:31,715] [INFO] [30030] PREPARE received from 30190 for REQUEST 1741323929740
[2025-03-07 14:05:31,715] [INFO] [30030] COMMIT received from 30192 for REQUEST 1741323929740
[2025-03-07 14:05:31,715] [INFO] [30030] PREPARE received from 30026 for REQUEST 1741323929740
[2025-03-07 14:05:31,723] [INFO] [30030] COMMIT received from 30179 for REQUEST 1741323929740
[2025-03-07 14:05:32,199] [INFO] [30030] COMMIT received from 30134 for REQUEST 1741323929740
[2025-03-07 14:05:32,201] [INFO] [30030] PREPARE received from 30050 for REQUEST 1741323929740
[2025-03-07 14:05:32,201] [INFO] [30030] PREPARE received from 30160 for REQUEST 1741323929740
[2025-03-07 14:05:32,201] [INFO] [30030] PREPARE received from 30148 for REQUEST 1741323929740
[2025-03-07 14:05:32,203] [INFO] [30030] COMMIT received from 30190 for REQUEST 1741323929740
[2025-03-07 14:05:32,266] [INFO] [30030] PREPARE received from 30032 for REQUEST 1741323929740
[2025-03-07 14:05:32,268] [INFO] [30030] COMMIT received from 30182 for REQUEST 1741323929740
[2025-03-07 14:05:32,450] [INFO] [30030] COMMIT received from 30032 for REQUEST 1741323929740
[2025-03-07 14:05:32,453] [INFO] [30030] PREPARE received from 30180 for REQUEST 1741323929740
[2025-03-07 14:05:32,453] [INFO] [30030] COMMIT received from 30159 for REQUEST 1741323929740
[2025-03-07 14:05:32,453] [INFO] [30030] COMMIT received from 30160 for REQUEST 1741323929740
