[2025-03-20 12:12:18,635] [INFO] Node started: localhost:30032 | index= 33 | f=1, k=4
[2025-03-20 12:12:26,998] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:12:27,014] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:12:27,141] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:27,157] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:12:27,381] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,430] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,556] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:27,598] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,122] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:28,136] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:12:28,219] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,253] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:28,286] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,320] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:28,399] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,444] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,496] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:34,986] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:12:34,986] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:12:35,138] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:35,143] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:12:35,386] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,429] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,609] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:35,661] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,097] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,146] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,230] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:36,257] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:12:36,399] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,453] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,511] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,560] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,594] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:43,036] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:12:43,043] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778152 bit
[2025-03-20 12:12:43,140] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:43,145] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:12:43,385] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,424] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:43,594] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,643] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,290] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:44,313] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:12:44,413] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,473] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,525] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,588] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,670] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,712] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,741] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:19:43,518] [INFO] Node started: localhost:30032 | index= 33 | f=1, k=4
[2025-03-20 12:20:49,860] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:20:49,860] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778152 bit
