[2025-03-20 12:37:36,723] [INFO] Node started: localhost:30057 | index= 58 | f=1, k=4
[2025-03-20 12:38:03,612] [INFO] Phase: PRE-PREPARE | Receiver: 30057 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:38:03,746] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30057 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:38:12,806] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,822] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30057 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:12,848] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:13,096] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:13,144] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:13,177] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:13,211] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:13,247] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:13,286] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:13,958] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
