[2025-03-20 12:37:38,723] [INFO] Node started: localhost:30067 | index= 68 | f=1, k=4
[2025-03-20 12:38:03,989] [INFO] Phase: PRE-PREPARE | Receiver: 30067 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:38:04,105] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30067 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:13,760] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:13,778] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30067 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:13,805] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:13,977] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:14,015] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:14,060] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:14,107] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,155] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:14,208] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,734] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:14,811] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:14,844] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,860] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30067 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:14,931] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,977] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,016] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,052] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:15,097] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:15,131] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,163] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:15,204] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:15,238] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:15,281] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:15,390] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,421] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778984 bit
