[2025-03-07 14:05:00,617] [INFO] Node started: localhost:30070 | index=71 | f=1, k=4
[2025-03-07 14:05:30,115] [INFO] [30070] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.787712, 'leader': 30004, 'cluster_id': 0, 'cluster_ports': [30000, 30004, 30006, 30007, 30011, 30015, 30018, 30023, 30027, 30036, 30039, 30041, 30042, 30043, 30044, 30046, 30049, 30053, 30059, 30061, 30065, 30066, 30070, 30074, 30078, 30083, 30094, 30096, 30098, 30100, 30102, 30104, 30108, 30109, 30110, 30111, 30113, 30115, 30116, 30126, 30131, 30132, 30139, 30147, 30150, 30151, 30154, 30161, 30162, 30170, 30172, 30176, 30177, 30181, 30185, 30187, 30189], 'cluster_manager': {'host': 'localhost', 'port': 30074, 'latitude': 36.6269982, 'longitude': 127.4590819, 'altitude': 88, 'offset_m': 'lat: 44 m, lng: 51 m, alt: 88 m'}, 'simulated_delay': 0.00024133333333333334, 'distance': 146.35375690144454, 'message_size_bits': 5792}
[2025-03-07 14:05:30,127] [INFO] [30070] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30113 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30150 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30083 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30065 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30096 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30108 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30046 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30176 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30115 for REQUEST 1741323929740
[2025-03-07 14:05:31,480] [INFO] [30070] PREPARE received from 30053 for REQUEST 1741323929740
[2025-03-07 14:05:31,745] [INFO] [30070] COMMIT received from 30053 for REQUEST 1741323929740
[2025-03-07 14:05:31,747] [INFO] [30070] COMMIT received from 30065 for REQUEST 1741323929740
[2025-03-07 14:05:31,747] [INFO] [30070] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30074
[2025-03-07 14:05:31,747] [INFO] [30070] COMMIT received from 30150 for REQUEST 1741323929740
[2025-03-07 14:05:31,747] [INFO] [30070] COMMIT received from 30083 for REQUEST 1741323929740
[2025-03-07 14:05:31,773] [INFO] [30070] COMMIT received from 30108 for REQUEST 1741323929740
[2025-03-07 14:05:31,773] [INFO] [30070] COMMIT received from 30049 for REQUEST 1741323929740
[2025-03-07 14:05:31,773] [INFO] [30070] COMMIT received from 30115 for REQUEST 1741323929740
[2025-03-07 14:05:31,776] [INFO] [30070] PREPARE received from 30049 for REQUEST 1741323929740
[2025-03-07 14:05:31,872] [INFO] [30070] COMMIT received from 30113 for REQUEST 1741323929740
[2025-03-07 14:05:31,872] [INFO] [30070] COMMIT received from 30189 for REQUEST 1741323929740
[2025-03-07 14:05:31,874] [INFO] [30070] PREPARE received from 30078 for REQUEST 1741323929740
[2025-03-07 14:05:31,874] [INFO] [30070] COMMIT received from 30078 for REQUEST 1741323929740
[2025-03-07 14:05:31,874] [INFO] [30070] PREPARE received from 30189 for REQUEST 1741323929740
[2025-03-07 14:05:32,733] [INFO] [30070] COMMIT received from 30046 for REQUEST 1741323929740
[2025-03-07 14:05:32,733] [INFO] [30070] PREPARE received from 30041 for REQUEST 1741323929740
[2025-03-07 14:05:32,733] [INFO] [30070] PREPARE received from 30043 for REQUEST 1741323929740
[2025-03-07 14:05:32,847] [INFO] [30070] COMMIT received from 30027 for REQUEST 1741323929740
[2025-03-07 14:05:32,847] [INFO] [30070] PREPARE received from 30154 for REQUEST 1741323929740
[2025-03-07 14:05:32,847] [INFO] [30070] COMMIT received from 30098 for REQUEST 1741323929740
[2025-03-07 14:05:32,847] [INFO] [30070] COMMIT received from 30154 for REQUEST 1741323929740
[2025-03-07 14:05:32,850] [INFO] [30070] PREPARE received from 30027 for REQUEST 1741323929740
[2025-03-07 14:05:32,850] [INFO] [30070] PREPARE received from 30181 for REQUEST 1741323929740
[2025-03-07 14:05:32,850] [INFO] [30070] PREPARE received from 30098 for REQUEST 1741323929740
[2025-03-07 14:05:32,851] [INFO] [30070] PREPARE received from 30000 for REQUEST 1741323929740
[2025-03-07 14:05:32,851] [INFO] [30070] COMMIT received from 30176 for REQUEST 1741323929740
[2025-03-07 14:05:32,851] [INFO] [30070] COMMIT received from 30181 for REQUEST 1741323929740
[2025-03-07 14:05:32,851] [INFO] [30070] PREPARE received from 30177 for REQUEST 1741323929740
[2025-03-07 14:05:32,851] [INFO] [30070] COMMIT received from 30177 for REQUEST 1741323929740
[2025-03-07 14:05:32,851] [INFO] [30070] COMMIT received from 30096 for REQUEST 1741323929740
[2025-03-07 14:05:33,009] [INFO] [30070] PREPARE received from 30007 for REQUEST 1741323929740
[2025-03-07 14:05:33,009] [INFO] [30070] COMMIT received from 30041 for REQUEST 1741323929740
[2025-03-07 14:05:33,096] [INFO] [30070] COMMIT received from 30043 for REQUEST 1741323929740
[2025-03-07 14:05:33,142] [INFO] [30070] PREPARE received from 30023 for REQUEST 1741323929740
[2025-03-07 14:05:33,165] [INFO] [30070] COMMIT received from 30023 for REQUEST 1741323929740
[2025-03-07 14:05:33,395] [INFO] [30070] PREPARE received from 30170 for REQUEST 1741323929740
[2025-03-07 14:05:33,395] [INFO] [30070] PREPARE received from 30015 for REQUEST 1741323929740
[2025-03-07 14:05:33,395] [INFO] [30070] COMMIT received from 30170 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30070] PREPARE received from 30132 for REQUEST 1741323929740
[2025-03-07 14:05:33,659] [INFO] [30070] COMMIT received from 30132 for REQUEST 1741323929740
[2025-03-07 14:05:33,675] [INFO] [30070] COMMIT received from 30007 for REQUEST 1741323929740
[2025-03-07 14:05:33,785] [INFO] [30070] COMMIT received from 30000 for REQUEST 1741323929740
[2025-03-07 14:05:34,064] [INFO] [30070] COMMIT received from 30015 for REQUEST 1741323929740
[2025-03-07 14:05:34,487] [INFO] [30070] PREPARE received from 30104 for REQUEST 1741323929740
[2025-03-07 14:05:34,487] [INFO] [30070] COMMIT received from 30104 for REQUEST 1741323929740
[2025-03-07 14:05:34,708] [INFO] [30070] PREPARE received from 30109 for REQUEST 1741323929740
[2025-03-07 14:05:34,708] [INFO] [30070] COMMIT received from 30109 for REQUEST 1741323929740
[2025-03-07 14:05:34,878] [INFO] [30070] COMMIT received from 30004 for REQUEST 1741323929740
[2025-03-07 14:05:34,878] [INFO] [30070] PREPARE received from 30044 for REQUEST 1741323929740
[2025-03-07 14:05:34,878] [INFO] [30070] COMMIT received from 30044 for REQUEST 1741323929740
[2025-03-07 14:05:34,935] [INFO] [30070] PREPARE received from 30147 for REQUEST 1741323929740
[2025-03-07 14:05:34,936] [INFO] [30070] COMMIT received from 30147 for REQUEST 1741323929740
[2025-03-07 14:05:35,023] [INFO] [30070] PREPARE received from 30161 for REQUEST 1741323929740
[2025-03-07 14:05:35,061] [INFO] [30070] COMMIT received from 30161 for REQUEST 1741323929740
[2025-03-07 14:05:35,302] [INFO] [30070] PREPARE received from 30061 for REQUEST 1741323929740
[2025-03-07 14:05:35,302] [INFO] [30070] COMMIT received from 30061 for REQUEST 1741323929740
[2025-03-07 14:05:35,358] [INFO] [30070] PREPARE received from 30185 for REQUEST 1741323929740
[2025-03-07 14:05:35,358] [INFO] [30070] COMMIT received from 30185 for REQUEST 1741323929740
[2025-03-07 14:05:35,586] [INFO] [30070] PREPARE received from 30102 for REQUEST 1741323929740
[2025-03-07 14:05:35,597] [INFO] [30070] COMMIT received from 30102 for REQUEST 1741323929740
[2025-03-07 14:05:35,857] [INFO] [30070] PREPARE received from 30110 for REQUEST 1741323929740
[2025-03-07 14:05:35,866] [INFO] [30070] PREPARE received from 30066 for REQUEST 1741323929740
[2025-03-07 14:05:35,866] [INFO] [30070] PREPARE received from 30042 for REQUEST 1741323929740
[2025-03-07 14:05:35,913] [INFO] [30070] COMMIT received from 30110 for REQUEST 1741323929740
[2025-03-07 14:05:35,915] [INFO] [30070] COMMIT received from 30042 for REQUEST 1741323929740
[2025-03-07 14:05:35,915] [INFO] [30070] COMMIT received from 30162 for REQUEST 1741323929740
[2025-03-07 14:05:35,915] [INFO] [30070] COMMIT received from 30094 for REQUEST 1741323929740
[2025-03-07 14:05:35,915] [INFO] [30070] COMMIT received from 30066 for REQUEST 1741323929740
[2025-03-07 14:05:35,915] [INFO] [30070] PREPARE received from 30094 for REQUEST 1741323929740
[2025-03-07 14:05:35,917] [INFO] [30070] PREPARE received from 30116 for REQUEST 1741323929740
[2025-03-07 14:05:35,917] [INFO] [30070] PREPARE received from 30162 for REQUEST 1741323929740
[2025-03-07 14:05:35,917] [INFO] [30070] PREPARE received from 30111 for REQUEST 1741323929740
[2025-03-07 14:05:35,939] [INFO] [30070] COMMIT received from 30116 for REQUEST 1741323929740
[2025-03-07 14:05:35,939] [INFO] [30070] COMMIT received from 30111 for REQUEST 1741323929740
[2025-03-07 14:05:36,023] [INFO] [30070] PREPARE received from 30172 for REQUEST 1741323929740
[2025-03-07 14:05:36,048] [INFO] [30070] COMMIT received from 30172 for REQUEST 1741323929740
[2025-03-07 14:05:36,183] [INFO] [30070] PREPARE received from 30100 for REQUEST 1741323929740
[2025-03-07 14:05:36,197] [INFO] [30070] COMMIT received from 30100 for REQUEST 1741323929740
[2025-03-07 14:05:36,260] [INFO] [30070] PREPARE received from 30059 for REQUEST 1741323929740
[2025-03-07 14:05:36,275] [INFO] [30070] COMMIT received from 30059 for REQUEST 1741323929740
[2025-03-07 14:05:36,397] [INFO] [30070] PREPARE received from 30187 for REQUEST 1741323929740
[2025-03-07 14:05:36,397] [INFO] [30070] COMMIT received from 30187 for REQUEST 1741323929740
[2025-03-07 14:05:36,543] [INFO] [30070] PREPARE received from 30006 for REQUEST 1741323929740
[2025-03-07 14:05:36,543] [INFO] [30070] PREPARE received from 30011 for REQUEST 1741323929740
[2025-03-07 14:05:36,545] [INFO] [30070] COMMIT received from 30011 for REQUEST 1741323929740
[2025-03-07 14:05:36,545] [INFO] [30070] COMMIT received from 30151 for REQUEST 1741323929740
[2025-03-07 14:05:36,545] [INFO] [30070] COMMIT received from 30006 for REQUEST 1741323929740
[2025-03-07 14:05:36,545] [INFO] [30070] PREPARE received from 30151 for REQUEST 1741323929740
[2025-03-07 14:05:36,607] [INFO] [30070] PREPARE received from 30036 for REQUEST 1741323929740
[2025-03-07 14:05:36,675] [INFO] [30070] COMMIT received from 30036 for REQUEST 1741323929740
[2025-03-07 14:05:36,691] [INFO] [30070] PREPARE received from 30018 for REQUEST 1741323929740
[2025-03-07 14:05:36,704] [INFO] [30070] COMMIT received from 30018 for REQUEST 1741323929740
[2025-03-07 14:05:36,704] [INFO] [30070] PREPARE received from 30126 for REQUEST 1741323929740
[2025-03-07 14:05:36,710] [INFO] [30070] COMMIT received from 30126 for REQUEST 1741323929740
[2025-03-07 14:05:36,710] [INFO] [30070] COMMIT received from 30131 for REQUEST 1741323929740
[2025-03-07 14:05:36,710] [INFO] [30070] PREPARE received from 30131 for REQUEST 1741323929740
[2025-03-07 14:05:36,845] [INFO] [30070] PREPARE received from 30039 for REQUEST 1741323929740
[2025-03-07 14:05:36,845] [INFO] [30070] COMMIT received from 30039 for REQUEST 1741323929740
[2025-03-07 14:05:37,039] [INFO] [30070] PREPARE received from 30139 for REQUEST 1741323929740
[2025-03-07 14:05:37,086] [INFO] [30070] COMMIT received from 30139 for REQUEST 1741323929740
[2025-03-07 14:06:42,836] [INFO] Node started: localhost:30070 | index=71 | f=1, k=4
[2025-03-07 14:07:02,126] [INFO] [30070] PRE-PREPARE received: {'request_id': 1741324022032, 'data': 'llapbft_message_1741324022032', 'timestamp': 1741324022.0642025, 'leader': 30137, 'cluster_id': 3, 'cluster_ports': [30001, 30002, 30003, 30010, 30011, 30016, 30023, 30027, 30028, 30030, 30032, 30035, 30038, 30046, 30048, 30049, 30052, 30055, 30056, 30057, 30060, 30066, 30068, 30070, 30076, 30079, 30083, 30085, 30088, 30091, 30093, 30095, 30096, 30100, 30108, 30113, 30114, 30122, 30124, 30129, 30131, 30132, 30134, 30137, 30138, 30147, 30153, 30157], 'cluster_manager': {'host': 'localhost', 'port': 30132, 'latitude': 36.6266901, 'longitude': 127.459304, 'altitude': 80, 'offset_m': 'lat: 10 m, lng: 71 m, alt: 80 m'}, 'simulated_delay': 0.00022033333333333334, 'distance': 110.43995316343381, 'message_size_bits': 5288}
[2025-03-07 14:07:02,126] [INFO] [30070] Broadcasting PREPARE: REQUEST 1741324022032
[2025-03-07 14:07:02,327] [INFO] [30070] PREPARE received from 30001 for REQUEST 1741324022032
[2025-03-07 14:07:02,327] [INFO] [30070] Broadcasting COMMIT: REQUEST 1741324022032
[2025-03-07 14:07:02,337] [INFO] [30070] PREPARE received from 30157 for REQUEST 1741324022032
[2025-03-07 14:07:02,337] [INFO] [30070] PREPARE received from 30049 for REQUEST 1741324022032
[2025-03-07 14:07:02,337] [INFO] [30070] PREPARE received from 30016 for REQUEST 1741324022032
[2025-03-07 14:07:02,443] [INFO] [30070] COMMIT received from 30001 for REQUEST 1741324022032
[2025-03-07 14:07:02,467] [INFO] [30070] COMMIT received from 30049 for REQUEST 1741324022032
[2025-03-07 14:07:02,467] [INFO] [30070] COMMIT complete. Sending PRE-REPLY: REQUEST 1741324022032 directly to Manager 30132
[2025-03-07 14:07:02,491] [INFO] [30070] COMMIT received from 30055 for REQUEST 1741324022032
[2025-03-07 14:07:02,491] [INFO] [30070] PREPARE received from 30055 for REQUEST 1741324022032
[2025-03-07 14:07:02,507] [INFO] [30070] PREPARE received from 30002 for REQUEST 1741324022032
[2025-03-07 14:07:02,516] [INFO] [30070] COMMIT received from 30016 for REQUEST 1741324022032
[2025-03-07 14:07:02,563] [INFO] [30070] PREPARE received from 30068 for REQUEST 1741324022032
[2025-03-07 14:07:02,563] [INFO] [30070] COMMIT received from 30068 for REQUEST 1741324022032
