[2025-03-20 12:12:13,616] [INFO] Node started: localhost:30007 | index=  8 | f=1, k=4
[2025-03-20 12:12:27,123] [INFO] Phase: PRE-PREPARE | Receiver: 30007 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16781368 bit
[2025-03-20 12:12:27,131] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30007 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:27,309] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,319] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30007 | Distance:  129.84 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:27,606] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,813] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:27,852] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,526] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,664] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,878] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,894] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,909] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30007 | Distance:  102.55 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:28,957] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,984] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,990] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,016] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,046] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,067] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30031 | Distance:   36.56 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:29,097] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,114] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,130] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:29,134] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,146] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,168] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,180] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,194] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:29,213] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:29,243] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:29,257] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30031 | Distance:   36.56 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:29,257] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:29,272] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:35,138] [INFO] Phase: PRE-PREPARE | Receiver: 30007 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16781368 bit
[2025-03-20 12:12:35,143] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30007 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:35,304] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,311] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30007 | Distance:  129.84 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:35,506] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,696] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:36,004] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:36,123] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,313] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:36,344] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,558] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:36,623] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:12:36,655] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,823] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:36,851] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:36,875] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:36,890] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30007 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778152 bit
[2025-03-20 12:12:36,938] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30031 | Distance:   36.56 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:36,978] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:36,994] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,026] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,042] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:37,057] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:37,073] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,089] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:37,105] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:37,121] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:37,137] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:37,152] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:37,168] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30031 | Distance:   36.56 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:37,172] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,130] [INFO] Phase: PRE-PREPARE | Receiver: 30007 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16781360 bit
[2025-03-20 12:12:43,136] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30007 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:12:43,271] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,273] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30007 | Distance:  129.84 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:43,456] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,521] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,839] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:44,206] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:44,268] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:44,415] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,657] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:44,847] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30031 | Distance:   36.56 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:44,887] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:44,932] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,964] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:44,990] [INFO] Phase: PREPARE | Receiver: 30007 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:45,020] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:45,029] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30007 | Distance:  132.64 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:45,056] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:45,083] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:45,090] [INFO] Phase: COMMIT | Receiver: 30007 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778976 bit
