[2025-03-12 12:35:57,034] [INFO] Node started: localhost:30162 | index=163 | f=1, k=4
[2025-03-12 12:36:06,232] [INFO] [30162] PRE-PREPARE received: {'request_id': 1741750566115, 'data': 'llapbft_message_1741750566115', 'timestamp': 1741750566.1577926, 'leader': 30194, 'cluster_id': 3, 'cluster_ports': [30002, 30005, 30008, 30010, 30012, 30016, 30019, 30023, 30029, 30032, 30033, 30034, 30037, 30040, 30041, 30043, 30054, 30056, 30061, 30064, 30066, 30072, 30075, 30076, 30080, 30082, 30084, 30085, 30092, 30098, 30102, 30111, 30113, 30116, 30119, 30120, 30127, 30137, 30144, 30147, 30151, 30154, 30162, 30165, 30176, 30187, 30188, 30194], 'cluster_manager': {'host': 'localhost', 'port': 30029, 'latitude': 36.6266259, 'longitude': 127.4590111, 'altitude': 13, 'offset_m': 'lat: 2 m, lng: 45 m, alt: 13 m'}, 'fault': True, 'simulated_delay': 0.00030044444444444443, 'distance': 192.85824382391513, 'message_size_bits': 5408}
[2025-03-12 12:36:06,244] [INFO] [30162] Broadcasting PREPARE: REQUEST 1741750566115
[2025-03-12 12:36:07,412] [INFO] [30162] PREPARE received from 30056 for REQUEST 1741750566115
[2025-03-12 12:36:07,412] [INFO] [30162] Broadcasting COMMIT: REQUEST 1741750566115
[2025-03-12 12:36:07,414] [INFO] [30162] PREPARE received from 30147 for REQUEST 1741750566115
[2025-03-12 12:36:07,423] [INFO] [30162] PREPARE received from 30092 for REQUEST 1741750566115
[2025-03-12 12:36:07,425] [INFO] [30162] COMMIT received from 30092 for REQUEST 1741750566115
[2025-03-12 12:36:07,472] [INFO] [30162] COMMIT received from 30147 for REQUEST 1741750566115
[2025-03-12 12:36:07,472] [INFO] [30162] COMMIT complete. Sending PRE-REPLY: REQUEST 1741750566115 directly to Manager 30029
[2025-03-12 12:36:08,470] [INFO] [30162] COMMIT received from 30056 for REQUEST 1741750566115
[2025-03-12 12:36:08,470] [INFO] [30162] PREPARE received from 30080 for REQUEST 1741750566115
[2025-03-12 12:36:08,470] [INFO] [30162] COMMIT received from 30080 for REQUEST 1741750566115
[2025-03-12 12:36:08,546] [INFO] [30162] PREPARE received from 30116 for REQUEST 1741750566115
[2025-03-12 12:36:08,606] [INFO] [30162] PREPARE received from 30032 for REQUEST 1741750566115
[2025-03-12 12:36:08,685] [INFO] [30162] PREPARE received from 30019 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] PREPARE received from 30033 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] COMMIT received from 30019 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] PREPARE received from 30037 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] PREPARE received from 30098 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] COMMIT received from 30037 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] COMMIT received from 30116 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] PREPARE received from 30144 for REQUEST 1741750566115
[2025-03-12 12:36:08,687] [INFO] [30162] COMMIT received from 30033 for REQUEST 1741750566115
[2025-03-12 12:36:08,790] [INFO] [30162] COMMIT received from 30144 for REQUEST 1741750566115
[2025-03-12 12:36:08,916] [INFO] [30162] COMMIT received from 30032 for REQUEST 1741750566115
[2025-03-12 12:36:08,916] [INFO] [30162] PREPARE received from 30188 for REQUEST 1741750566115
[2025-03-12 12:36:08,918] [INFO] [30162] COMMIT received from 30098 for REQUEST 1741750566115
[2025-03-12 12:36:08,976] [INFO] [30162] PREPARE received from 30165 for REQUEST 1741750566115
[2025-03-12 12:36:08,976] [INFO] [30162] COMMIT received from 30188 for REQUEST 1741750566115
[2025-03-12 12:36:09,115] [INFO] [30162] COMMIT received from 30084 for REQUEST 1741750566115
[2025-03-12 12:36:09,115] [INFO] [30162] COMMIT received from 30165 for REQUEST 1741750566115
[2025-03-12 12:36:09,115] [INFO] [30162] PREPARE received from 30084 for REQUEST 1741750566115
[2025-03-12 12:36:09,117] [INFO] [30162] PREPARE received from 30102 for REQUEST 1741750566115
[2025-03-12 12:36:09,117] [INFO] [30162] PREPARE received from 30187 for REQUEST 1741750566115
[2025-03-12 12:36:09,117] [INFO] [30162] COMMIT received from 30187 for REQUEST 1741750566115
[2025-03-12 12:36:09,122] [INFO] [30162] COMMIT received from 30102 for REQUEST 1741750566115
[2025-03-12 12:36:09,124] [INFO] [30162] COMMIT received from 30194 for REQUEST 1741750566115
[2025-03-12 12:36:09,133] [INFO] [30162] PREPARE received from 30034 for REQUEST 1741750566115
[2025-03-12 12:36:09,416] [INFO] [30162] PREPARE received from 30151 for REQUEST 1741750566115
[2025-03-12 12:36:09,416] [INFO] [30162] PREPARE received from 30075 for REQUEST 1741750566115
[2025-03-12 12:36:09,418] [INFO] [30162] COMMIT received from 30034 for REQUEST 1741750566115
[2025-03-12 12:36:09,479] [INFO] [30162] PREPARE received from 30113 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] PREPARE received from 30119 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] PREPARE received from 30043 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] PREPARE received from 30064 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] PREPARE received from 30154 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] COMMIT received from 30043 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] COMMIT received from 30119 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] COMMIT received from 30154 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] COMMIT received from 30064 for REQUEST 1741750566115
[2025-03-12 12:36:09,480] [INFO] [30162] COMMIT received from 30113 for REQUEST 1741750566115
[2025-03-12 12:36:09,540] [INFO] [30162] PREPARE received from 30066 for REQUEST 1741750566115
[2025-03-12 12:36:09,540] [INFO] [30162] COMMIT received from 30066 for REQUEST 1741750566115
[2025-03-12 12:36:09,606] [INFO] [30162] COMMIT received from 30151 for REQUEST 1741750566115
[2025-03-12 12:36:09,617] [INFO] [30162] PREPARE received from 30111 for REQUEST 1741750566115
[2025-03-12 12:36:09,685] [INFO] [30162] COMMIT received from 30111 for REQUEST 1741750566115
[2025-03-12 12:36:09,698] [INFO] [30162] COMMIT received from 30075 for REQUEST 1741750566115
[2025-03-12 12:36:09,780] [INFO] [30162] PREPARE received from 30041 for REQUEST 1741750566115
[2025-03-12 12:36:09,780] [INFO] [30162] PREPARE received from 30010 for REQUEST 1741750566115
[2025-03-12 12:36:09,809] [INFO] [30162] COMMIT received from 30010 for REQUEST 1741750566115
[2025-03-12 12:36:09,809] [INFO] [30162] PREPARE received from 30016 for REQUEST 1741750566115
[2025-03-12 12:36:09,818] [INFO] [30162] COMMIT received from 30041 for REQUEST 1741750566115
[2025-03-12 12:36:09,835] [INFO] [30162] COMMIT received from 30016 for REQUEST 1741750566115
[2025-03-12 12:36:09,837] [INFO] [30162] PREPARE received from 30005 for REQUEST 1741750566115
[2025-03-12 12:36:09,837] [INFO] [30162] COMMIT received from 30005 for REQUEST 1741750566115
[2025-03-12 12:36:09,995] [INFO] [30162] PREPARE received from 30137 for REQUEST 1741750566115
[2025-03-12 12:36:09,995] [INFO] [30162] COMMIT received from 30137 for REQUEST 1741750566115
[2025-03-12 12:36:10,277] [INFO] [30162] PREPARE received from 30176 for REQUEST 1741750566115
[2025-03-12 12:36:10,277] [INFO] [30162] COMMIT received from 30176 for REQUEST 1741750566115
[2025-03-12 12:36:10,277] [INFO] [30162] PREPARE received from 30008 for REQUEST 1741750566115
[2025-03-12 12:36:10,277] [INFO] [30162] PREPARE received from 30085 for REQUEST 1741750566115
