[2025-03-12 12:35:28,694] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-12 12:36:06,184] [INFO] [30021] PRE-PREPARE received: {'request_id': 1741750566115, 'data': 'llapbft_message_1741750566115', 'timestamp': 1741750566.142161, 'leader': 30022, 'cluster_id': 2, 'cluster_ports': [30000, 30007, 30013, 30018, 30021, 30022, 30030, 30031, 30049, 30050, 30052, 30055, 30057, 30058, 30060, 30062, 30071, 30077, 30078, 30091, 30096, 30100, 30104, 30110, 30121, 30129, 30131, 30133, 30134, 30140, 30141, 30143, 30148, 30152, 30155, 30157, 30158, 30159, 30160, 30161, 30167, 30168, 30169, 30170, 30171, 30172, 30173, 30177, 30178, 30179, 30190, 30192, 30193, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30155, 'latitude': 36.6269898, 'longitude': 127.4587731, 'altitude': 261, 'offset_m': 'lat: 43 m, lng: 24 m, alt: 261 m'}, 'simulated_delay': 0.000235, 'distance': 115.03707536872132, 'message_size_bits': 5640}
[2025-03-12 12:36:06,202] [INFO] [30021] Broadcasting PREPARE: REQUEST 1741750566115
[2025-03-12 12:36:08,067] [INFO] [30021] PREPARE received from 30140 for REQUEST 1741750566115
[2025-03-12 12:36:08,067] [INFO] [30021] Broadcasting COMMIT: REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30172 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30167 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30168 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30178 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30121 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30193 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30179 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30177 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30173 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30161 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30060 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30195 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30192 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30171 for REQUEST 1741750566115
[2025-03-12 12:36:08,069] [INFO] [30021] PREPARE received from 30110 for REQUEST 1741750566115
[2025-03-12 12:36:08,372] [INFO] [30021] PREPARE received from 30159 for REQUEST 1741750566115
[2025-03-12 12:36:08,372] [INFO] [30021] PREPARE received from 30100 for REQUEST 1741750566115
[2025-03-12 12:36:08,376] [INFO] [30021] PREPARE received from 30013 for REQUEST 1741750566115
[2025-03-12 12:36:08,376] [INFO] [30021] PREPARE received from 30091 for REQUEST 1741750566115
[2025-03-12 12:36:08,378] [INFO] [30021] PREPARE received from 30096 for REQUEST 1741750566115
[2025-03-12 12:36:08,378] [INFO] [30021] PREPARE received from 30158 for REQUEST 1741750566115
[2025-03-12 12:36:08,378] [INFO] [30021] PREPARE received from 30170 for REQUEST 1741750566115
[2025-03-12 12:36:08,378] [INFO] [30021] PREPARE received from 30049 for REQUEST 1741750566115
[2025-03-12 12:36:08,378] [INFO] [30021] PREPARE received from 30071 for REQUEST 1741750566115
[2025-03-12 12:36:08,380] [INFO] [30021] PREPARE received from 30078 for REQUEST 1741750566115
[2025-03-12 12:36:08,778] [INFO] [30021] PREPARE received from 30062 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30133 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30159 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT complete. Sending PRE-REPLY: REQUEST 1741750566115 directly to Manager 30155
[2025-03-12 12:36:08,993] [INFO] [30021] PREPARE received from 30131 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] PREPARE received from 30104 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30091 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30131 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30060 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] PREPARE received from 30129 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30158 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30179 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30167 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] PREPARE received from 30148 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30100 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30195 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] COMMIT received from 30152 for REQUEST 1741750566115
[2025-03-12 12:36:08,993] [INFO] [30021] PREPARE received from 30030 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30168 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30193 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30133 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30152 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30129 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30190 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30062 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30134 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30190 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30121 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30052 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30057 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30140 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30157 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] PREPARE received from 30141 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30104 for REQUEST 1741750566115
[2025-03-12 12:36:08,998] [INFO] [30021] COMMIT received from 30177 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30148 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30172 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30134 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30192 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30173 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30157 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] COMMIT received from 30171 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] PREPARE received from 30007 for REQUEST 1741750566115
[2025-03-12 12:36:09,002] [INFO] [30021] PREPARE received from 30000 for REQUEST 1741750566115
[2025-03-12 12:36:09,015] [INFO] [30021] COMMIT received from 30058 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] COMMIT received from 30057 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] PREPARE received from 30018 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] COMMIT received from 30049 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] PREPARE received from 30169 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] COMMIT received from 30161 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] COMMIT received from 30052 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] COMMIT received from 30141 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] COMMIT received from 30169 for REQUEST 1741750566115
[2025-03-12 12:36:09,025] [INFO] [30021] PREPARE received from 30058 for REQUEST 1741750566115
[2025-03-12 12:36:09,029] [INFO] [30021] COMMIT received from 30031 for REQUEST 1741750566115
[2025-03-12 12:36:10,313] [INFO] [30021] PREPARE received from 30031 for REQUEST 1741750566115
[2025-03-12 12:36:10,313] [INFO] [30021] COMMIT received from 30030 for REQUEST 1741750566115
[2025-03-12 12:36:10,313] [INFO] [30021] PREPARE received from 30050 for REQUEST 1741750566115
[2025-03-12 12:36:10,313] [INFO] [30021] COMMIT received from 30007 for REQUEST 1741750566115
[2025-03-12 12:36:10,393] [INFO] [30021] COMMIT received from 30096 for REQUEST 1741750566115
[2025-03-12 12:36:10,393] [INFO] [30021] COMMIT received from 30110 for REQUEST 1741750566115
[2025-03-12 12:36:10,393] [INFO] [30021] COMMIT received from 30078 for REQUEST 1741750566115
[2025-03-12 12:36:10,393] [INFO] [30021] PREPARE received from 30143 for REQUEST 1741750566115
[2025-03-12 12:36:10,393] [INFO] [30021] COMMIT received from 30050 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30178 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30055 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] PREPARE received from 30055 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30071 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30143 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30160 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] PREPARE received from 30160 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30022 for REQUEST 1741750566115
[2025-03-12 12:36:10,402] [INFO] [30021] COMMIT received from 30013 for REQUEST 1741750566115
[2025-03-12 12:36:10,477] [INFO] [30021] COMMIT received from 30170 for REQUEST 1741750566115
[2025-03-12 12:36:10,649] [INFO] [30021] PREPARE received from 30077 for REQUEST 1741750566115
[2025-03-12 12:36:10,649] [INFO] [30021] COMMIT received from 30077 for REQUEST 1741750566115
[2025-03-12 12:36:10,655] [INFO] [30021] COMMIT received from 30018 for REQUEST 1741750566115
[2025-03-12 12:36:10,655] [INFO] [30021] COMMIT received from 30000 for REQUEST 1741750566115
[2025-03-12 12:54:34,006] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-12 12:55:25,592] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-12 12:55:54,333] [INFO] [30021] PRE-PREPARE received: {'request_id': 1741751754181, 'data': 'llapbft_message_1741751754181', 'timestamp': 1741751754.2060645, 'leader': 30003, 'cluster_id': 3, 'cluster_ports': [30003, 30010, 30012, 30013, 30020, 30021, 30022, 30028, 30033, 30034, 30035, 30038, 30039, 30047, 30051, 30056, 30060, 30061, 30062, 30067, 30071, 30073, 30074, 30076, 30082, 30084, 30090, 30105, 30107, 30111, 30117, 30119, 30127, 30134, 30135, 30136, 30139, 30142, 30154, 30156, 30157, 30159], 'cluster_manager': {'host': 'localhost', 'port': 30159, 'latitude': 36.6271038, 'longitude': 127.4587684, 'altitude': 226, 'offset_m': 'lat: 55 m, lng: 23 m, alt: 226 m'}, 'simulated_delay': 0.0008293333333333333, 'distance': 259.1004125566744, 'message_size_bits': 4976}
[2025-03-12 12:55:54,333] [INFO] [30021] Broadcasting PREPARE: REQUEST 1741751754181
[2025-03-12 12:55:54,531] [INFO] [30021] PREPARE received from 30139 for REQUEST 1741751754181
[2025-03-12 12:55:54,531] [INFO] [30021] Broadcasting COMMIT: REQUEST 1741751754181
[2025-03-12 12:55:54,531] [INFO] [30021] PREPARE received from 30084 for REQUEST 1741751754181
[2025-03-12 12:55:54,531] [INFO] [30021] PREPARE received from 30022 for REQUEST 1741751754181
[2025-03-12 12:55:54,537] [INFO] [30021] PREPARE received from 30107 for REQUEST 1741751754181
[2025-03-12 12:55:54,545] [INFO] [30021] PREPARE received from 30117 for REQUEST 1741751754181
[2025-03-12 12:55:54,713] [INFO] [30021] COMMIT received from 30022 for REQUEST 1741751754181
[2025-03-12 12:55:54,713] [INFO] [30021] PREPARE received from 30033 for REQUEST 1741751754181
[2025-03-12 12:55:54,713] [INFO] [30021] COMMIT received from 30107 for REQUEST 1741751754181
[2025-03-12 12:55:54,713] [INFO] [30021] COMMIT complete. Sending PRE-REPLY: REQUEST 1741751754181 directly to Manager 30159
[2025-03-12 12:55:54,713] [INFO] [30021] COMMIT received from 30139 for REQUEST 1741751754181
[2025-03-12 12:55:54,735] [INFO] [30021] PREPARE received from 30034 for REQUEST 1741751754181
[2025-03-12 12:55:54,735] [INFO] [30021] PREPARE received from 30039 for REQUEST 1741751754181
[2025-03-12 12:55:54,748] [INFO] [30021] COMMIT received from 30034 for REQUEST 1741751754181
[2025-03-12 12:55:54,794] [INFO] [30021] COMMIT received from 30117 for REQUEST 1741751754181
[2025-03-12 12:55:54,806] [INFO] [30021] PREPARE received from 30012 for REQUEST 1741751754181
[2025-03-12 12:55:54,837] [INFO] [30021] COMMIT received from 30012 for REQUEST 1741751754181
[2025-03-12 12:55:54,837] [INFO] [30021] COMMIT received from 30039 for REQUEST 1741751754181
[2025-03-12 12:55:54,837] [INFO] [30021] COMMIT received from 30033 for REQUEST 1741751754181
[2025-03-12 12:55:54,865] [INFO] [30021] PREPARE received from 30105 for REQUEST 1741751754181
[2025-03-12 12:55:54,867] [INFO] [30021] COMMIT received from 30105 for REQUEST 1741751754181
[2025-03-12 12:55:54,905] [INFO] [30021] COMMIT received from 30084 for REQUEST 1741751754181
[2025-03-12 12:55:55,068] [INFO] [30021] PREPARE received from 30076 for REQUEST 1741751754181
[2025-03-12 12:55:55,068] [INFO] [30021] COMMIT received from 30076 for REQUEST 1741751754181
[2025-03-12 12:55:55,171] [INFO] [30021] PREPARE received from 30060 for REQUEST 1741751754181
[2025-03-12 12:55:55,171] [INFO] [30021] COMMIT received from 30060 for REQUEST 1741751754181
[2025-03-12 12:55:55,874] [INFO] [30021] PREPARE received from 30071 for REQUEST 1741751754181
[2025-03-12 12:55:55,876] [INFO] [30021] COMMIT received from 30071 for REQUEST 1741751754181
[2025-03-12 12:55:56,074] [INFO] [30021] COMMIT received from 30003 for REQUEST 1741751754181
[2025-03-12 12:55:56,486] [INFO] [30021] PREPARE received from 30038 for REQUEST 1741751754181
[2025-03-12 12:55:56,486] [INFO] [30021] COMMIT received from 30038 for REQUEST 1741751754181
[2025-03-12 12:55:56,530] [INFO] [30021] PREPARE received from 30135 for REQUEST 1741751754181
[2025-03-12 12:55:56,549] [INFO] [30021] COMMIT received from 30135 for REQUEST 1741751754181
[2025-03-12 12:55:56,689] [INFO] [30021] PREPARE received from 30136 for REQUEST 1741751754181
[2025-03-12 12:55:56,698] [INFO] [30021] COMMIT received from 30136 for REQUEST 1741751754181
[2025-03-12 12:55:56,713] [INFO] [30021] PREPARE received from 30067 for REQUEST 1741751754181
[2025-03-12 12:55:56,713] [INFO] [30021] PREPARE received from 30127 for REQUEST 1741751754181
[2025-03-12 12:55:56,713] [INFO] [30021] PREPARE received from 30134 for REQUEST 1741751754181
[2025-03-12 12:55:56,713] [INFO] [30021] PREPARE received from 30090 for REQUEST 1741751754181
[2025-03-12 12:55:56,721] [INFO] [30021] COMMIT received from 30067 for REQUEST 1741751754181
[2025-03-12 12:55:56,729] [INFO] [30021] COMMIT received from 30127 for REQUEST 1741751754181
[2025-03-12 12:55:56,729] [INFO] [30021] COMMIT received from 30134 for REQUEST 1741751754181
[2025-03-12 12:55:56,729] [INFO] [30021] COMMIT received from 30090 for REQUEST 1741751754181
[2025-03-12 12:55:56,830] [INFO] [30021] PREPARE received from 30010 for REQUEST 1741751754181
[2025-03-12 12:55:56,830] [INFO] [30021] COMMIT received from 30010 for REQUEST 1741751754181
[2025-03-12 12:55:56,864] [INFO] [30021] PREPARE received from 30073 for REQUEST 1741751754181
[2025-03-12 12:55:56,870] [INFO] [30021] COMMIT received from 30073 for REQUEST 1741751754181
[2025-03-12 12:55:56,872] [INFO] [30021] PREPARE received from 30051 for REQUEST 1741751754181
[2025-03-12 12:55:56,872] [INFO] [30021] COMMIT received from 30051 for REQUEST 1741751754181
[2025-03-12 12:55:57,004] [INFO] [30021] PREPARE received from 30062 for REQUEST 1741751754181
[2025-03-12 12:55:57,004] [INFO] [30021] COMMIT received from 30062 for REQUEST 1741751754181
[2025-03-12 12:55:57,004] [INFO] [30021] PREPARE received from 30142 for REQUEST 1741751754181
[2025-03-12 12:55:57,020] [INFO] [30021] COMMIT received from 30142 for REQUEST 1741751754181
[2025-03-12 12:55:57,038] [INFO] [30021] PREPARE received from 30157 for REQUEST 1741751754181
[2025-03-12 12:55:57,038] [INFO] [30021] COMMIT received from 30157 for REQUEST 1741751754181
[2025-03-12 12:55:57,069] [INFO] [30021] PREPARE received from 30154 for REQUEST 1741751754181
[2025-03-12 12:55:57,069] [INFO] [30021] COMMIT received from 30154 for REQUEST 1741751754181
[2025-03-12 12:55:57,109] [INFO] [30021] PREPARE received from 30156 for REQUEST 1741751754181
[2025-03-12 12:55:57,109] [INFO] [30021] COMMIT received from 30156 for REQUEST 1741751754181
[2025-03-12 12:55:57,138] [INFO] [30021] PREPARE received from 30111 for REQUEST 1741751754181
[2025-03-12 12:55:57,138] [INFO] [30021] COMMIT received from 30111 for REQUEST 1741751754181
[2025-03-12 12:56:37,057] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
