[2025-03-20 12:41:57,961] [INFO] [Node_116] Starting node at localhost:30115 | index=116 | f=1, k=4
[2025-03-20 12:42:02,073] [INFO] [Node_116] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.4661s, distance:0079.96m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:14,273] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30021, delay:0.6991s, distance:0135.79m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:14,293] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30084, delay:0.4661s, distance:0094.89m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:14,330] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30083, delay:0.6991s, distance:0111.76m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:14,393] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30079, delay:0.9322s, distance:0157.72m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:14,439] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30020, delay:0.4661s, distance:0074.14m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:14,475] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30010, delay:0.4661s, distance:0085.90m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:14,507] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30080, delay:0.4661s, distance:0081.85m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:14,553] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30018, delay:0.6991s, distance:0105.78m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:14,608] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30081, delay:0.6991s, distance:0142.79m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:14,656] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30022, delay:0.4661s, distance:0081.04m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:14,678] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30023, delay:0.6991s, distance:0115.45m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:17,761] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30085, delay:0.4661s, distance:0055.61m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:17,779] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30039, delay:0.4661s, distance:0063.66m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:17,807] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30041, delay:0.9322s, distance:0181.89m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:17,827] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30011, delay:0.6991s, distance:0134.50m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:25,184] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30091, delay:0.4661s, distance:0097.79m (Euclidean), mes_siz_bit:16778832
