[2025-03-20 12:41:49,729] [INFO] [Node_ 75] Starting node at localhost:30074 | index= 75 | f=1, k=4
[2025-03-20 12:42:02,256] [INFO] [Node_ 75] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.3107s, distance:0049.92m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:34,923] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30023, delay:0.6991s, distance:0116.41m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:34,947] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30020, delay:0.4661s, distance:0057.45m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:34,991] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30010, delay:0.6991s, distance:0112.58m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,095] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30083, delay:0.4661s, distance:0080.50m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,224] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30081, delay:0.6991s, distance:0135.74m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,374] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30079, delay:0.6991s, distance:0145.23m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,495] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30022, delay:0.4661s, distance:0054.18m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,596] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30086, delay:0.4661s, distance:0081.37m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,675] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30018, delay:0.4661s, distance:0083.55m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,780] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30021, delay:0.6991s, distance:0104.44m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:35,861] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30084, delay:0.4661s, distance:0085.78m (Euclidean), mes_siz_bit:16778864
