[2025-03-20 12:06:05,581] [INFO] Random PBFT scenario: f=1, k=4 | Role: RANDOM CLIENT
[2025-03-20 12:06:05,597] [INFO] Random client: Waiting for /start-protocol trigger
[2025-03-20 12:06:18,117] [INFO] /start-protocol input (random): {'latitude': 36.6261519, 'longitude': 127.4590123, 'altitude': 0}
[2025-03-20 12:06:18,188] [INFO] Random connections pre-warmed.
[2025-03-20 12:06:18,188] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30036 | Cluster 0 | Distance:  217.76 m | Delay: 1.3983s | Size: 16779464 bit
[2025-03-20 12:06:18,683] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30036 | Distance:  195.04 m | Delay: 0.9321s | Size: 16778056 bit
[2025-03-20 12:06:18,834] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30036 | Cluster 0 | Distance:  217.76 m | Delay: 1.3983s | Size: 16779464 bit
[2025-03-20 12:06:18,847] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30009 | Cluster 1 | Distance:  150.68 m | Delay: 0.0000s | Size: 16779464 bit
[2025-03-20 12:06:18,861] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30016 | Cluster 2 | Distance:  187.68 m | Delay: 0.9322s | Size: 16779456 bit
[2025-03-20 12:06:18,867] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30023 | Cluster 3 | Distance:   91.46 m | Delay: 0.4661s | Size: 16779464 bit
[2025-03-20 12:06:20,394] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30036 | Distance:  195.04 m | Delay: 0.9321s | Size: 16778056 bit
[2025-03-20 12:06:20,673] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30023 | Distance:  100.59 m | Delay: 0.0000s | Size: 16778056 bit
[2025-03-20 12:06:20,734] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30009 | Distance:  110.18 m | Delay: 0.6991s | Size: 16778056 bit
[2025-03-20 12:06:20,755] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30016 | Distance:  146.67 m | Delay: 0.6991s | Size: 16778056 bit
[2025-03-20 12:06:21,868] [INFO] Random round 1: 3.0513 seconds
[2025-03-20 12:06:23,874] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30036 | Cluster 0 | Distance:  217.76 m | Delay: 1.3983s | Size: 16779456 bit
[2025-03-20 12:06:23,888] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30009 | Cluster 1 | Distance:  150.68 m | Delay: 0.0000s | Size: 16779464 bit
[2025-03-20 12:06:23,902] [INFO] [RANDOM CLIENT] Sending PRE-REQUEST: Manager 30016 | Cluster 2 | Distance:  187.68 m | Delay: 0.9322s | Size: 16779456 bit
