[2025-03-20 12:39:53,721] [INFO] Node started: localhost:30100 | index=101 | f=1, k=4
[2025-03-20 12:40:09,724] [INFO] Phase: PRE-PREPARE | Receiver: 30100 | Sender: 30076 | Distance:  120.12 m | Delay: 0.6993s | Size: 16782200 bit
[2025-03-20 12:40:09,728] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30100 | Distance:  120.12 m | Delay: 0.6993s | Size: 16778160 bit
[2025-03-20 12:40:10,459] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:10,475] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30100 | Distance:  143.57 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:17,042] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,327] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,442] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:17,480] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:17,549] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,586] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,625] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:17,658] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:17,719] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,751] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,781] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,815] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,850] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,866] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30100 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:17,934] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30076 | Distance:  120.12 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:17,967] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,110] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,149] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:18,192] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:18,247] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,361] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:18,396] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,431] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,472] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,509] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,558] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:19,424] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:19,822] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:20,101] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,279] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:20,534] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:20,624] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,662] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:20,717] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:20,754] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:20,797] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:20,845] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:20,946] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,981] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,016] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,045] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:21,080] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,112] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,142] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:40:21,172] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:21,214] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:21,255] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:40:21,295] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,333] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:21,382] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,824] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:22,252] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:22,538] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,401] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:24,290] [INFO] Phase: COMMIT | Receiver: 30100 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:34,423] [INFO] Phase: PRE-PREPARE | Receiver: 30100 | Sender: 30076 | Distance:  120.12 m | Delay: 0.6993s | Size: 16782208 bit
[2025-03-20 12:40:34,423] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30100 | Distance:  120.12 m | Delay: 0.6993s | Size: 16778160 bit
[2025-03-20 12:40:34,942] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:34,956] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30100 | Distance:  143.57 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:47,496] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:47,577] [INFO] Phase: PREPARE | Receiver: 30100 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
