[2025-03-20 12:39:54,516] [INFO] Node started: localhost:30104 | index=105 | f=1, k=4
[2025-03-20 12:40:12,141] [INFO] Phase: PRE-PREPARE | Receiver: 30104 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:40:12,254] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:40:18,218] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:18,229] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:40:18,827] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,974] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,008] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:19,051] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:19,087] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,181] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,214] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,442] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:19,457] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30104 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:19,843] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:22,239] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:22,743] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:22,842] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:22,981] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:23,014] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:23,055] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:23,110] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:23,157] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:23,189] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:23,225] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:23,282] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:23,326] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:23,360] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,421] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:23,498] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,536] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
