[2025-03-20 12:39:57,520] [INFO] Node started: localhost:30119 | index=120 | f=1, k=4
[2025-03-20 12:40:09,418] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30119 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16782520 bit
[2025-03-20 12:40:09,433] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30119 | Distance:    0.00 m | Delay: N/A | Size: 16781336 bit
[2025-03-20 12:40:12,728] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:12,879] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:13,008] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30119 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:40:17,861] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:17,885] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:17,928] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,980] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:18,006] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:18,043] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:18,057] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30119 | Distance:  113.16 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:18,117] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,177] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:18,227] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,450] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:18,974] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:21,335] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,366] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:21,411] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
