[2025-03-20 12:06:11,777] [INFO] Random node started: localhost:30030 | index= 31 | f=1, k=4
[2025-03-20 12:06:18,311] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16781240 bit
[2025-03-20 12:06:18,315] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:18,409] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30026 | Distance:   85.80 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,413] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   85.80 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:18,420] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30037 | Distance:  125.32 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,509] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30039 | Distance:  159.09 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:18,539] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   88.22 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,547] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30011 | Distance:  104.63 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,552] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30004 | Distance:  151.69 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:18,554] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:18,576] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30037 | Distance:  125.32 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,586] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30026 | Distance:   85.80 m | Delay: 0.4661s | Size: 16779152 bit
