[2025-03-20 12:06:11,977] [INFO] Random node started: localhost:30031 | index= 32 | f=1, k=4
[2025-03-20 12:06:19,023] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30038 | Distance:  120.62 m | Delay: 0.6992s | Size: 16781216 bit
[2025-03-20 12:06:19,035] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  120.62 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:19,395] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,411] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:19,848] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:19,967] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,034] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30029 | Distance:   40.64 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:20,118] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:   66.65 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,156] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30013 | Distance:   96.71 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,244] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30006 | Distance:   63.05 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,354] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,448] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30038 | Distance:  120.62 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,458] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30031 | Distance:  120.62 m | Delay: 0.6991s | Size: 16778312 bit
[2025-03-20 12:06:20,604] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,646] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30013 | Distance:   96.71 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,712] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,743] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30006 | Distance:   63.05 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,769] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30029 | Distance:   40.64 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:20,787] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30001 | Distance:   66.65 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,076] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30038 | Distance:  120.62 m | Delay: 0.6992s | Size: 16781216 bit
[2025-03-20 12:06:24,087] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  120.62 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:24,597] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,612] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:24,646] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30029 | Distance:   40.64 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:24,678] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30013 | Distance:   96.71 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,707] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30006 | Distance:   63.05 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,737] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,769] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,802] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:   66.65 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,308] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30001 | Distance:   66.65 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,350] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30013 | Distance:   96.71 m | Delay: 0.4661s | Size: 16779136 bit
[2025-03-20 12:06:25,366] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30031 | Distance:   96.71 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:25,455] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30006 | Distance:   63.05 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,486] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30038 | Distance:  120.62 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,520] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30029 | Distance:   40.64 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:25,553] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,589] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,646] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779160 bit
