[2025-03-20 12:39:45,674] [INFO] Node started: localhost:30060 | index= 61 | f=1, k=4
[2025-03-20 12:40:12,139] [INFO] Phase: PRE-PREPARE | Receiver: 30060 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:40:12,262] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30060 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:40:22,725] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:22,856] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30060 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:40:23,116] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,280] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,556] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:23,706] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:26,448] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:26,486] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:26,982] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:27,026] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:27,041] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30060 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:27,174] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:27,202] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:27,225] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:27,377] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:27,463] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:27,548] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:27,615] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:27,661] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:27,698] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:27,726] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:27,752] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:27,825] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:27,852] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:27,959] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:28,007] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:28,074] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:28,120] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:28,161] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:28,234] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:28,268] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:28,337] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
