[2025-03-20 12:39:48,895] [INFO] Node started: localhost:30076 | index= 77 | f=1, k=4
[2025-03-20 12:40:09,168] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30076 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16782536 bit
[2025-03-20 12:40:09,180] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30076 | Distance:    0.00 m | Delay: N/A | Size: 16781360 bit
[2025-03-20 12:40:10,034] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:12,624] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:12,746] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30076 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:40:16,481] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:16,517] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:16,565] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:16,614] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:16,646] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:16,683] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:16,719] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:16,756] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:16,798] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:16,814] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30076 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:17,034] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,260] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,331] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,613] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:17,894] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:18,707] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:18,799] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16779000 bit
