[2025-03-20 12:39:49,094] [INFO] Node started: localhost:30077 | index= 78 | f=1, k=4
[2025-03-20 12:40:10,336] [INFO] Phase: PRE-PREPARE | Receiver: 30077 | Sender: 30066 | Distance:  128.33 m | Delay: 0.6993s | Size: 16782200 bit
[2025-03-20 12:40:10,354] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30077 | Distance:  128.33 m | Delay: 0.6993s | Size: 16778160 bit
[2025-03-20 12:40:15,070] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30080 | Distance:  120.26 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:15,260] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30077 | Distance:  120.26 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:40:17,611] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30080 | Distance:  120.26 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:17,737] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30066 | Distance:  128.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:17,751] [INFO] Phase: PRE-REPLY | Receiver: 30038 | Sender: 30077 | Distance:  128.33 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:40:18,261] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30039 | Distance:   90.24 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:18,321] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30015 | Distance:  107.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,163] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30039 | Distance:   90.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,354] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30067 | Distance:  138.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:20,406] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30055 | Distance:   57.40 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:20,442] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30026 | Distance:  134.72 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:20,495] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30031 | Distance:  102.57 m | Delay: 0.6991s | Size: 16779000 bit
