[2025-03-11 17:44:17,619] [INFO] Node started: localhost:30121 | index=122 | f=1, k=4
[2025-03-11 17:44:26,316] [INFO] [30121] PRE-PREPARE received: {'request_id': 1741682666245, 'data': 'llapbft_message_1741682666245', 'timestamp': 1741682666.2776651, 'leader': 30029, 'cluster_id': 3, 'cluster_ports': [30004, 30005, 30008, 30011, 30012, 30017, 30018, 30021, 30029, 30033, 30040, 30042, 30045, 30052, 30057, 30068, 30070, 30072, 30073, 30074, 30076, 30084, 30088, 30091, 30094, 30100, 30103, 30105, 30107, 30109, 30110, 30117, 30121, 30125, 30130, 30133, 30137, 30138, 30139, 30145], 'cluster_manager': {'host': 'localhost', 'port': 30018, 'latitude': 36.6268812, 'longitude': 127.4589418, 'altitude': 19, 'offset_m': 'lat: 31 m, lng: 39 m, alt: 19 m'}, 'simulated_delay': 0.00013466666666666667, 'distance': 69.65117785498104, 'message_size_bits': 4848}
[2025-03-11 17:44:26,330] [INFO] [30121] Broadcasting PREPARE: REQUEST 1741682666245
[2025-03-11 17:44:27,049] [INFO] [30121] PREPARE received from 30109 for REQUEST 1741682666245
[2025-03-11 17:44:27,049] [INFO] [30121] Broadcasting COMMIT: REQUEST 1741682666245
[2025-03-11 17:44:27,049] [INFO] [30121] PREPARE received from 30084 for REQUEST 1741682666245
[2025-03-11 17:44:27,049] [INFO] [30121] PREPARE received from 30021 for REQUEST 1741682666245
[2025-03-11 17:44:27,051] [INFO] [30121] PREPARE received from 30107 for REQUEST 1741682666245
[2025-03-11 17:44:27,051] [INFO] [30121] PREPARE received from 30033 for REQUEST 1741682666245
[2025-03-11 17:44:27,099] [INFO] [30121] PREPARE received from 30052 for REQUEST 1741682666245
[2025-03-11 17:44:27,101] [INFO] [30121] PREPARE received from 30105 for REQUEST 1741682666245
[2025-03-11 17:44:27,101] [INFO] [30121] COMMIT received from 30084 for REQUEST 1741682666245
[2025-03-11 17:44:27,101] [INFO] [30121] PREPARE received from 30040 for REQUEST 1741682666245
[2025-03-11 17:44:27,101] [INFO] [30121] PREPARE received from 30008 for REQUEST 1741682666245
[2025-03-11 17:44:27,124] [INFO] [30121] COMMIT received from 30021 for REQUEST 1741682666245
[2025-03-11 17:44:27,124] [INFO] [30121] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682666245 directly to Manager 30018
[2025-03-11 17:44:27,124] [INFO] [30121] PREPARE received from 30073 for REQUEST 1741682666245
[2025-03-11 17:44:27,128] [INFO] [30121] PREPARE received from 30012 for REQUEST 1741682666245
[2025-03-11 17:44:27,128] [INFO] [30121] COMMIT received from 30109 for REQUEST 1741682666245
[2025-03-11 17:44:27,128] [INFO] [30121] PREPARE received from 30117 for REQUEST 1741682666245
[2025-03-11 17:44:27,129] [INFO] [30121] COMMIT received from 30073 for REQUEST 1741682666245
[2025-03-11 17:44:27,129] [INFO] [30121] COMMIT received from 30117 for REQUEST 1741682666245
[2025-03-11 17:44:27,129] [INFO] [30121] COMMIT received from 30107 for REQUEST 1741682666245
[2025-03-11 17:44:27,219] [INFO] [30121] PREPARE received from 30094 for REQUEST 1741682666245
[2025-03-11 17:44:27,525] [INFO] [30121] COMMIT received from 30012 for REQUEST 1741682666245
[2025-03-11 17:44:27,678] [INFO] [30121] COMMIT received from 30033 for REQUEST 1741682666245
[2025-03-11 17:44:27,779] [INFO] [30121] COMMIT received from 30074 for REQUEST 1741682666245
[2025-03-11 17:44:27,779] [INFO] [30121] COMMIT received from 30008 for REQUEST 1741682666245
[2025-03-11 17:44:27,779] [INFO] [30121] COMMIT received from 30052 for REQUEST 1741682666245
[2025-03-11 17:44:27,779] [INFO] [30121] COMMIT received from 30042 for REQUEST 1741682666245
[2025-03-11 17:44:27,779] [INFO] [30121] COMMIT received from 30105 for REQUEST 1741682666245
[2025-03-11 17:44:27,779] [INFO] [30121] COMMIT received from 30040 for REQUEST 1741682666245
[2025-03-11 17:44:27,890] [INFO] [30121] PREPARE received from 30074 for REQUEST 1741682666245
[2025-03-11 17:44:27,890] [INFO] [30121] PREPARE received from 30130 for REQUEST 1741682666245
[2025-03-11 17:44:27,890] [INFO] [30121] PREPARE received from 30133 for REQUEST 1741682666245
[2025-03-11 17:44:27,890] [INFO] [30121] PREPARE received from 30042 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30045 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30130 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30094 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30138 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30068 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30076 for REQUEST 1741682666245
[2025-03-11 17:44:27,921] [INFO] [30121] COMMIT received from 30072 for REQUEST 1741682666245
[2025-03-11 17:44:27,926] [INFO] [30121] COMMIT received from 30110 for REQUEST 1741682666245
[2025-03-11 17:44:27,926] [INFO] [30121] COMMIT received from 30133 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30076 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30072 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30110 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30045 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30004 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30138 for REQUEST 1741682666245
[2025-03-11 17:44:28,034] [INFO] [30121] PREPARE received from 30068 for REQUEST 1741682666245
[2025-03-11 17:44:28,241] [INFO] [30121] COMMIT received from 30004 for REQUEST 1741682666245
[2025-03-11 17:44:28,241] [INFO] [30121] PREPARE received from 30091 for REQUEST 1741682666245
[2025-03-11 17:44:28,243] [INFO] [30121] PREPARE received from 30005 for REQUEST 1741682666245
[2025-03-11 17:44:28,243] [INFO] [30121] PREPARE received from 30137 for REQUEST 1741682666245
[2025-03-11 17:44:28,243] [INFO] [30121] PREPARE received from 30139 for REQUEST 1741682666245
[2025-03-11 17:44:28,284] [INFO] [30121] COMMIT received from 30091 for REQUEST 1741682666245
[2025-03-11 17:44:28,284] [INFO] [30121] COMMIT received from 30137 for REQUEST 1741682666245
[2025-03-11 17:44:28,284] [INFO] [30121] COMMIT received from 30139 for REQUEST 1741682666245
[2025-03-11 17:44:28,284] [INFO] [30121] COMMIT received from 30005 for REQUEST 1741682666245
[2025-03-11 17:44:28,297] [INFO] [30121] COMMIT received from 30088 for REQUEST 1741682666245
[2025-03-11 17:44:28,297] [INFO] [30121] PREPARE received from 30088 for REQUEST 1741682666245
[2025-03-11 17:44:28,340] [INFO] [30121] COMMIT received from 30070 for REQUEST 1741682666245
[2025-03-11 17:44:28,340] [INFO] [30121] PREPARE received from 30070 for REQUEST 1741682666245
[2025-03-11 17:44:28,365] [INFO] [30121] COMMIT received from 30029 for REQUEST 1741682666245
[2025-03-11 17:44:28,453] [INFO] [30121] PREPARE received from 30125 for REQUEST 1741682666245
[2025-03-11 17:44:28,497] [INFO] [30121] COMMIT received from 30125 for REQUEST 1741682666245
[2025-03-11 17:44:28,569] [INFO] [30121] PREPARE received from 30011 for REQUEST 1741682666245
[2025-03-11 17:44:28,577] [INFO] [30121] PREPARE received from 30017 for REQUEST 1741682666245
[2025-03-11 17:44:28,605] [INFO] [30121] COMMIT received from 30017 for REQUEST 1741682666245
[2025-03-11 17:44:28,605] [INFO] [30121] COMMIT received from 30011 for REQUEST 1741682666245
[2025-03-11 17:44:28,868] [INFO] [30121] PREPARE received from 30100 for REQUEST 1741682666245
[2025-03-11 17:44:28,868] [INFO] [30121] PREPARE received from 30057 for REQUEST 1741682666245
[2025-03-11 17:44:28,874] [INFO] [30121] PREPARE received from 30103 for REQUEST 1741682666245
[2025-03-11 17:44:28,874] [INFO] [30121] COMMIT received from 30100 for REQUEST 1741682666245
[2025-03-11 17:44:28,874] [INFO] [30121] COMMIT received from 30057 for REQUEST 1741682666245
[2025-03-11 17:44:28,874] [INFO] [30121] COMMIT received from 30103 for REQUEST 1741682666245
[2025-03-11 17:44:29,216] [INFO] [30121] PREPARE received from 30145 for REQUEST 1741682666245
[2025-03-11 17:44:29,216] [INFO] [30121] COMMIT received from 30145 for REQUEST 1741682666245
[2025-03-11 17:47:54,363] [INFO] Node started: localhost:30121 | index=122 | f=1, k=4
[2025-03-11 17:48:11,725] [INFO] [30121] PRE-PREPARE received: {'request_id': 1741682891617, 'data': 'llapbft_message_1741682891617', 'timestamp': 1741682891.640408, 'leader': 30004, 'cluster_id': 0, 'cluster_ports': [30000, 30003, 30004, 30005, 30013, 30016, 30018, 30026, 30027, 30032, 30033, 30035, 30038, 30040, 30042, 30043, 30047, 30053, 30055, 30058, 30060, 30062, 30067, 30069, 30078, 30081, 30082, 30086, 30090, 30092, 30095, 30111, 30117, 30121, 30123, 30127, 30132, 30142, 30143, 30157, 30162, 30164, 30168, 30169, 30170, 30171, 30175, 30177, 30178, 30182, 30190, 30195, 30196], 'cluster_manager': {'host': 'localhost', 'port': 30092, 'latitude': 36.6274499, 'longitude': 127.4590589, 'altitude': 27, 'offset_m': 'lat: 94 m, lng: 49 m, alt: 27 m'}, 'simulated_delay': 0.000232, 'distance': 138.74674026878608, 'message_size_bits': 5568}
[2025-03-11 17:48:11,725] [INFO] [30121] Broadcasting PREPARE: REQUEST 1741682891617
[2025-03-11 17:48:12,324] [INFO] [30121] PREPARE received from 30196 for REQUEST 1741682891617
[2025-03-11 17:48:12,324] [INFO] [30121] Broadcasting COMMIT: REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30169 for REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30060 for REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30168 for REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30143 for REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30078 for REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30142 for REQUEST 1741682891617
[2025-03-11 17:48:12,430] [INFO] [30121] PREPARE received from 30170 for REQUEST 1741682891617
[2025-03-11 17:48:12,436] [INFO] [30121] PREPARE received from 30047 for REQUEST 1741682891617
[2025-03-11 17:48:12,504] [INFO] [30121] PREPARE received from 30082 for REQUEST 1741682891617
[2025-03-11 17:48:12,517] [INFO] [30121] PREPARE received from 30013 for REQUEST 1741682891617
[2025-03-11 17:48:12,517] [INFO] [30121] PREPARE received from 30157 for REQUEST 1741682891617
[2025-03-11 17:48:12,517] [INFO] [30121] PREPARE received from 30162 for REQUEST 1741682891617
[2025-03-11 17:48:12,517] [INFO] [30121] PREPARE received from 30195 for REQUEST 1741682891617
[2025-03-11 17:48:14,116] [INFO] [30121] COMMIT received from 30196 for REQUEST 1741682891617
[2025-03-11 17:48:14,131] [INFO] [30121] PREPARE received from 30003 for REQUEST 1741682891617
[2025-03-11 17:48:14,305] [INFO] [30121] PREPARE received from 30111 for REQUEST 1741682891617
[2025-03-11 17:48:14,379] [INFO] [30121] COMMIT received from 30162 for REQUEST 1741682891617
[2025-03-11 17:48:14,379] [INFO] [30121] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682891617 directly to Manager 30092
[2025-03-11 17:48:14,379] [INFO] [30121] COMMIT received from 30078 for REQUEST 1741682891617
[2025-03-11 17:48:14,379] [INFO] [30121] COMMIT received from 30127 for REQUEST 1741682891617
[2025-03-11 17:48:14,379] [INFO] [30121] COMMIT received from 30164 for REQUEST 1741682891617
[2025-03-11 17:48:14,381] [INFO] [30121] COMMIT received from 30047 for REQUEST 1741682891617
[2025-03-11 17:48:14,381] [INFO] [30121] COMMIT received from 30177 for REQUEST 1741682891617
[2025-03-11 17:48:14,381] [INFO] [30121] COMMIT received from 30060 for REQUEST 1741682891617
[2025-03-11 17:48:14,381] [INFO] [30121] COMMIT received from 30142 for REQUEST 1741682891617
