[2025-03-12 10:00:03,004] [INFO] Node started: localhost:30149 | index=150 | f=1, k=4
[2025-03-12 10:00:13,808] [INFO] [CLUSTER LEADER 30149] Forwarded PRE-REQUEST received: {'request_id': 1741741213760, 'timestamp': 1741741213.760575, 'data': 'llapbft_message_1741741213760', 'cluster_id': 0, 'cluster_ports': [30001, 30006, 30008, 30012, 30014, 30022, 30023, 30036, 30038, 30043, 30044, 30047, 30048, 30053, 30060, 30068, 30070, 30079, 30081, 30084, 30090, 30097, 30098, 30099, 30103, 30110, 30111, 30117, 30118, 30119, 30135, 30137, 30139, 30140, 30141, 30147, 30149, 30153, 30161, 30164, 30172, 30177, 30181, 30184, 30186, 30193, 30194, 30198, 30199], 'leader': 30149, 'client_port': 20001, 'origin': 'manager', 'simulated_delay': 0.0005306666666666667, 'distance': 244.61480831651238, 'message_size_bits': 6368, 'cluster_manager': {'host': 'localhost', 'port': 30199, 'latitude': 36.6267137, 'longitude': 127.4594272, 'altitude': 36, 'offset_m': 'lat: 12 m, lng: 82 m, alt: 36 m'}}
[2025-03-12 10:00:13,808] [INFO] [CLUSTER LEADER 30149] Broadcasting PRE-PREPARE: REQUEST 1741741213760
[2025-03-12 10:00:14,667] [INFO] [30149] PREPARE received from 30081 for REQUEST 1741741213760
[2025-03-12 10:00:14,784] [INFO] [30149] PREPARE received from 30181 for REQUEST 1741741213760
[2025-03-12 10:00:14,784] [INFO] [30149] Broadcasting COMMIT: REQUEST 1741741213760
[2025-03-12 10:00:15,061] [INFO] [30149] PREPARE received from 30141 for REQUEST 1741741213760
[2025-03-12 10:00:15,111] [INFO] [30149] COMMIT received from 30081 for REQUEST 1741741213760
[2025-03-12 10:00:15,111] [INFO] [30149] PREPARE received from 30161 for REQUEST 1741741213760
[2025-03-12 10:00:15,111] [INFO] [30149] PREPARE received from 30194 for REQUEST 1741741213760
[2025-03-12 10:00:15,111] [INFO] [30149] PREPARE received from 30193 for REQUEST 1741741213760
[2025-03-12 10:00:15,111] [INFO] [30149] PREPARE received from 30186 for REQUEST 1741741213760
[2025-03-12 10:00:15,113] [INFO] [30149] PREPARE received from 30153 for REQUEST 1741741213760
[2025-03-12 10:00:16,881] [INFO] [30149] PREPARE received from 30140 for REQUEST 1741741213760
[2025-03-12 10:00:16,881] [INFO] [30149] PREPARE received from 30117 for REQUEST 1741741213760
[2025-03-12 10:00:18,122] [INFO] [30149] PREPARE received from 30008 for REQUEST 1741741213760
[2025-03-12 10:00:18,122] [INFO] [30149] PREPARE received from 30070 for REQUEST 1741741213760
[2025-03-12 10:00:18,122] [INFO] [30149] PREPARE received from 30097 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30119 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30036 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30044 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30022 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30048 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30099 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] PREPARE received from 30090 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] COMMIT received from 30186 for REQUEST 1741741213760
[2025-03-12 10:00:18,127] [INFO] [30149] COMMIT complete. Sending PRE-REPLY: REQUEST 1741741213760 directly to Manager 30199
[2025-03-12 10:00:18,130] [INFO] [30149] COMMIT received from 30161 for REQUEST 1741741213760
[2025-03-12 10:00:18,130] [INFO] [30149] PREPARE received from 30053 for REQUEST 1741741213760
[2025-03-12 10:00:18,130] [INFO] [30149] COMMIT received from 30141 for REQUEST 1741741213760
[2025-03-12 10:00:18,130] [INFO] [30149] PREPARE received from 30137 for REQUEST 1741741213760
[2025-03-12 10:00:18,132] [INFO] [30149] PREPARE received from 30023 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] COMMIT received from 30193 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] PREPARE received from 30068 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] COMMIT received from 30181 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] PREPARE received from 30047 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] COMMIT received from 30044 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] PREPARE received from 30060 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] COMMIT received from 30036 for REQUEST 1741741213760
[2025-03-12 10:00:18,138] [INFO] [30149] PREPARE received from 30198 for REQUEST 1741741213760
[2025-03-12 10:00:18,142] [INFO] [30149] COMMIT received from 30137 for REQUEST 1741741213760
