[2025-03-12 09:59:36,282] [INFO] Node started: localhost:30016 | index=17 | f=1, k=4
[2025-03-12 10:00:13,824] [INFO] [30016] PRE-PREPARE received: {'request_id': 1741741213760, 'data': 'llapbft_message_1741741213760', 'timestamp': 1741741213.7926333, 'leader': 30021, 'cluster_id': 3, 'cluster_ports': [30013, 30016, 30017, 30019, 30020, 30021, 30026, 30033, 30052, 30057, 30065, 30066, 30067, 30069, 30071, 30075, 30076, 30094, 30095, 30101, 30102, 30106, 30107, 30116, 30120, 30121, 30124, 30130, 30131, 30134, 30151, 30155, 30159, 30160, 30166, 30169, 30179, 30190, 30197], 'cluster_manager': {'host': 'localhost', 'port': 30102, 'latitude': 36.6273461, 'longitude': 127.4595365, 'altitude': 118, 'offset_m': 'lat: 82 m, lng: 92 m, alt: 118 m'}, 'simulated_delay': 0.0002671111111111111, 'distance': 199.27947232766326, 'message_size_bits': 4808}
[2025-03-12 10:00:13,837] [INFO] [30016] Broadcasting PREPARE: REQUEST 1741741213760
[2025-03-12 10:00:14,055] [INFO] [30016] PREPARE received from 30130 for REQUEST 1741741213760
[2025-03-12 10:00:14,055] [INFO] [30016] Broadcasting COMMIT: REQUEST 1741741213760
[2025-03-12 10:00:14,055] [INFO] [30016] PREPARE received from 30106 for REQUEST 1741741213760
[2025-03-12 10:00:14,055] [INFO] [30016] PREPARE received from 30134 for REQUEST 1741741213760
[2025-03-12 10:00:14,057] [INFO] [30016] PREPARE received from 30101 for REQUEST 1741741213760
[2025-03-12 10:00:14,236] [INFO] [30016] PREPARE received from 30107 for REQUEST 1741741213760
[2025-03-12 10:00:14,831] [INFO] [30016] PREPARE received from 30124 for REQUEST 1741741213760
[2025-03-12 10:00:14,889] [INFO] [30016] PREPARE received from 30179 for REQUEST 1741741213760
[2025-03-12 10:00:14,889] [INFO] [30016] PREPARE received from 30159 for REQUEST 1741741213760
[2025-03-12 10:00:14,889] [INFO] [30016] PREPARE received from 30076 for REQUEST 1741741213760
[2025-03-12 10:00:14,889] [INFO] [30016] PREPARE received from 30057 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30065 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30116 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30160 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] COMMIT received from 30106 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30151 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30131 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30033 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30094 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] COMMIT received from 30134 for REQUEST 1741741213760
[2025-03-12 10:00:15,099] [INFO] [30016] COMMIT complete. Sending PRE-REPLY: REQUEST 1741741213760 directly to Manager 30102
[2025-03-12 10:00:15,099] [INFO] [30016] PREPARE received from 30095 for REQUEST 1741741213760
[2025-03-12 10:00:15,272] [INFO] [30016] COMMIT received from 30166 for REQUEST 1741741213760
[2025-03-12 10:00:15,272] [INFO] [30016] PREPARE received from 30017 for REQUEST 1741741213760
[2025-03-12 10:00:15,272] [INFO] [30016] PREPARE received from 30020 for REQUEST 1741741213760
[2025-03-12 10:00:15,272] [INFO] [30016] COMMIT received from 30107 for REQUEST 1741741213760
[2025-03-12 10:00:15,272] [INFO] [30016] COMMIT received from 30101 for REQUEST 1741741213760
[2025-03-12 10:00:15,276] [INFO] [30016] PREPARE received from 30166 for REQUEST 1741741213760
[2025-03-12 10:00:15,276] [INFO] [30016] PREPARE received from 30052 for REQUEST 1741741213760
[2025-03-12 10:00:16,126] [INFO] [30016] PREPARE received from 30121 for REQUEST 1741741213760
[2025-03-12 10:00:16,126] [INFO] [30016] PREPARE received from 30169 for REQUEST 1741741213760
[2025-03-12 10:00:16,126] [INFO] [30016] COMMIT received from 30052 for REQUEST 1741741213760
[2025-03-12 10:00:16,126] [INFO] [30016] PREPARE received from 30013 for REQUEST 1741741213760
[2025-03-12 10:00:16,131] [INFO] [30016] COMMIT received from 30130 for REQUEST 1741741213760
[2025-03-12 10:00:16,131] [INFO] [30016] COMMIT received from 30169 for REQUEST 1741741213760
[2025-03-12 10:00:16,476] [INFO] [30016] COMMIT received from 30124 for REQUEST 1741741213760
[2025-03-12 10:00:16,479] [INFO] [30016] PREPARE received from 30026 for REQUEST 1741741213760
[2025-03-12 10:00:16,479] [INFO] [30016] COMMIT received from 30033 for REQUEST 1741741213760
[2025-03-12 10:00:16,479] [INFO] [30016] COMMIT received from 30179 for REQUEST 1741741213760
[2025-03-12 10:00:16,482] [INFO] [30016] COMMIT received from 30076 for REQUEST 1741741213760
[2025-03-12 10:00:16,482] [INFO] [30016] COMMIT received from 30026 for REQUEST 1741741213760
[2025-03-12 10:00:16,482] [INFO] [30016] COMMIT received from 30065 for REQUEST 1741741213760
[2025-03-12 10:00:16,515] [INFO] [30016] PREPARE received from 30066 for REQUEST 1741741213760
[2025-03-12 10:00:16,563] [INFO] [30016] COMMIT received from 30021 for REQUEST 1741741213760
[2025-03-12 10:00:16,958] [INFO] [30016] COMMIT received from 30116 for REQUEST 1741741213760
[2025-03-12 10:00:16,958] [INFO] [30016] COMMIT received from 30013 for REQUEST 1741741213760
[2025-03-12 10:00:17,138] [INFO] [30016] COMMIT received from 30020 for REQUEST 1741741213760
[2025-03-12 10:00:17,166] [INFO] [30016] COMMIT received from 30094 for REQUEST 1741741213760
