[2025-03-11 17:48:04,613] [INFO] Node started: localhost:30172 | index=173 | f=1, k=4
[2025-03-11 17:48:11,687] [INFO] [30172] PRE-PREPARE received: {'request_id': 1741682891617, 'data': 'llapbft_message_1741682891617', 'timestamp': 1741682891.640408, 'leader': 30150, 'cluster_id': 2, 'cluster_ports': [30007, 30008, 30012, 30015, 30019, 30025, 30029, 30030, 30039, 30044, 30046, 30050, 30054, 30056, 30063, 30065, 30068, 30072, 30074, 30077, 30080, 30083, 30085, 30094, 30103, 30105, 30112, 30114, 30120, 30125, 30129, 30130, 30134, 30145, 30147, 30148, 30149, 30150, 30155, 30158, 30166, 30167, 30172, 30174, 30188, 30192, 30199], 'cluster_manager': {'host': 'localhost', 'port': 30029, 'latitude': 36.6266259, 'longitude': 127.4590111, 'altitude': 13, 'offset_m': 'lat: 2 m, lng: 45 m, alt: 13 m'}, 'simulated_delay': 0.00021766666666666665, 'distance': 116.59272120957147, 'message_size_bits': 5224}
[2025-03-11 17:48:11,693] [INFO] [30172] Broadcasting PREPARE: REQUEST 1741682891617
[2025-03-11 17:48:12,191] [INFO] [30172] PREPARE received from 30012 for REQUEST 1741682891617
[2025-03-11 17:48:12,191] [INFO] [30172] Broadcasting COMMIT: REQUEST 1741682891617
[2025-03-11 17:48:12,191] [INFO] [30172] PREPARE received from 30158 for REQUEST 1741682891617
[2025-03-11 17:48:12,242] [INFO] [30172] PREPARE received from 30145 for REQUEST 1741682891617
[2025-03-11 17:48:13,443] [INFO] [30172] PREPARE received from 30188 for REQUEST 1741682891617
[2025-03-11 17:48:13,443] [INFO] [30172] PREPARE received from 30199 for REQUEST 1741682891617
[2025-03-11 17:48:13,443] [INFO] [30172] PREPARE received from 30094 for REQUEST 1741682891617
[2025-03-11 17:48:13,753] [INFO] [30172] PREPARE received from 30074 for REQUEST 1741682891617
[2025-03-11 17:48:13,753] [INFO] [30172] PREPARE received from 30025 for REQUEST 1741682891617
[2025-03-11 17:48:13,753] [INFO] [30172] COMMIT received from 30158 for REQUEST 1741682891617
[2025-03-11 17:48:13,753] [INFO] [30172] COMMIT received from 30074 for REQUEST 1741682891617
[2025-03-11 17:48:13,753] [INFO] [30172] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682891617 directly to Manager 30029
[2025-03-11 17:48:13,753] [INFO] [30172] COMMIT received from 30012 for REQUEST 1741682891617
[2025-03-11 17:48:13,973] [INFO] [30172] PREPARE received from 30105 for REQUEST 1741682891617
[2025-03-11 17:48:13,983] [INFO] [30172] PREPARE received from 30085 for REQUEST 1741682891617
[2025-03-11 17:48:13,985] [INFO] [30172] COMMIT received from 30105 for REQUEST 1741682891617
[2025-03-11 17:48:13,985] [INFO] [30172] COMMIT received from 30145 for REQUEST 1741682891617
[2025-03-11 17:48:13,985] [INFO] [30172] COMMIT received from 30199 for REQUEST 1741682891617
[2025-03-11 17:48:14,031] [INFO] [30172] PREPARE received from 30147 for REQUEST 1741682891617
[2025-03-11 17:48:14,031] [INFO] [30172] COMMIT received from 30155 for REQUEST 1741682891617
[2025-03-11 17:48:14,031] [INFO] [30172] PREPARE received from 30155 for REQUEST 1741682891617
[2025-03-11 17:48:14,174] [INFO] [30172] PREPARE received from 30063 for REQUEST 1741682891617
[2025-03-11 17:48:14,203] [INFO] [30172] COMMIT received from 30147 for REQUEST 1741682891617
[2025-03-11 17:48:14,203] [INFO] [30172] PREPARE received from 30072 for REQUEST 1741682891617
[2025-03-11 17:48:14,203] [INFO] [30172] COMMIT received from 30072 for REQUEST 1741682891617
[2025-03-11 17:48:14,480] [INFO] [30172] PREPARE received from 30056 for REQUEST 1741682891617
[2025-03-11 17:48:14,480] [INFO] [30172] PREPARE received from 30125 for REQUEST 1741682891617
[2025-03-11 17:48:14,510] [INFO] [30172] COMMIT received from 30125 for REQUEST 1741682891617
[2025-03-11 17:48:14,609] [INFO] [30172] COMMIT received from 30094 for REQUEST 1741682891617
[2025-03-11 17:48:14,697] [INFO] [30172] PREPARE received from 30019 for REQUEST 1741682891617
[2025-03-11 17:48:14,717] [INFO] [30172] COMMIT received from 30019 for REQUEST 1741682891617
[2025-03-11 17:48:14,724] [INFO] [30172] COMMIT received from 30150 for REQUEST 1741682891617
[2025-03-11 17:48:15,085] [INFO] [30172] PREPARE received from 30112 for REQUEST 1741682891617
[2025-03-11 17:48:15,107] [INFO] [30172] PREPARE received from 30192 for REQUEST 1741682891617
[2025-03-11 17:48:15,107] [INFO] [30172] PREPARE received from 30114 for REQUEST 1741682891617
[2025-03-11 17:48:15,109] [INFO] [30172] COMMIT received from 30114 for REQUEST 1741682891617
[2025-03-11 17:48:15,109] [INFO] [30172] COMMIT received from 30192 for REQUEST 1741682891617
[2025-03-11 17:48:15,398] [INFO] [30172] COMMIT received from 30112 for REQUEST 1741682891617
[2025-03-11 17:48:15,641] [INFO] [30172] COMMIT received from 30025 for REQUEST 1741682891617
[2025-03-11 17:48:15,641] [INFO] [30172] COMMIT received from 30129 for REQUEST 1741682891617
[2025-03-11 17:48:15,641] [INFO] [30172] PREPARE received from 30008 for REQUEST 1741682891617
[2025-03-11 17:48:15,641] [INFO] [30172] PREPARE received from 30129 for REQUEST 1741682891617
[2025-03-11 17:48:15,644] [INFO] [30172] PREPARE received from 30007 for REQUEST 1741682891617
[2025-03-11 17:48:15,644] [INFO] [30172] COMMIT received from 30188 for REQUEST 1741682891617
[2025-03-11 17:48:15,723] [INFO] [30172] COMMIT received from 30008 for REQUEST 1741682891617
[2025-03-11 17:48:15,725] [INFO] [30172] COMMIT received from 30007 for REQUEST 1741682891617
[2025-03-11 17:48:15,725] [INFO] [30172] COMMIT received from 30077 for REQUEST 1741682891617
[2025-03-11 17:48:15,725] [INFO] [30172] PREPARE received from 30174 for REQUEST 1741682891617
[2025-03-11 17:48:15,725] [INFO] [30172] COMMIT received from 30174 for REQUEST 1741682891617
[2025-03-11 17:48:15,725] [INFO] [30172] COMMIT received from 30166 for REQUEST 1741682891617
[2025-03-11 17:48:15,725] [INFO] [30172] COMMIT received from 30068 for REQUEST 1741682891617
[2025-03-11 17:48:15,727] [INFO] [30172] COMMIT received from 30085 for REQUEST 1741682891617
[2025-03-11 17:48:15,780] [INFO] [30172] PREPARE received from 30166 for REQUEST 1741682891617
[2025-03-11 17:48:15,780] [INFO] [30172] PREPARE received from 30068 for REQUEST 1741682891617
[2025-03-11 17:48:15,780] [INFO] [30172] PREPARE received from 30054 for REQUEST 1741682891617
[2025-03-11 17:48:15,780] [INFO] [30172] PREPARE received from 30167 for REQUEST 1741682891617
[2025-03-11 17:48:15,780] [INFO] [30172] PREPARE received from 30077 for REQUEST 1741682891617
[2025-03-11 17:48:15,780] [INFO] [30172] PREPARE received from 30050 for REQUEST 1741682891617
[2025-03-11 17:48:15,875] [INFO] [30172] COMMIT received from 30167 for REQUEST 1741682891617
[2025-03-11 17:48:15,875] [INFO] [30172] COMMIT received from 30050 for REQUEST 1741682891617
[2025-03-11 17:48:15,875] [INFO] [30172] COMMIT received from 30030 for REQUEST 1741682891617
[2025-03-11 17:48:16,001] [INFO] [30172] COMMIT received from 30056 for REQUEST 1741682891617
[2025-03-11 17:48:16,003] [INFO] [30172] PREPARE received from 30030 for REQUEST 1741682891617
[2025-03-11 17:48:16,048] [INFO] [30172] COMMIT received from 30063 for REQUEST 1741682891617
[2025-03-11 17:48:16,048] [INFO] [30172] PREPARE received from 30120 for REQUEST 1741682891617
[2025-03-11 17:48:16,048] [INFO] [30172] COMMIT received from 30054 for REQUEST 1741682891617
