[2025-03-12 10:00:08,234] [INFO] Node started: localhost:30175 | index=176 | f=1, k=4
[2025-03-12 10:00:13,808] [INFO] [CLUSTER LEADER 30175] Forwarded PRE-REQUEST received: {'request_id': 1741741213760, 'timestamp': 1741741213.760575, 'data': 'llapbft_message_1741741213760', 'cluster_id': 2, 'cluster_ports': [30000, 30002, 30003, 30005, 30007, 30009, 30010, 30018, 30024, 30029, 30031, 30032, 30035, 30037, 30039, 30045, 30046, 30055, 30056, 30058, 30059, 30061, 30064, 30072, 30077, 30083, 30085, 30087, 30088, 30089, 30091, 30093, 30096, 30100, 30105, 30108, 30109, 30112, 30122, 30125, 30126, 30127, 30129, 30136, 30142, 30154, 30157, 30162, 30163, 30167, 30170, 30171, 30173, 30175, 30176, 30178, 30182, 30183, 30185, 30187, 30191, 30192, 30196], 'leader': 30175, 'client_port': 20001, 'origin': 'manager', 'simulated_delay': 0.000606, 'distance': 235.5936927207292, 'message_size_bits': 7272, 'cluster_manager': {'host': 'localhost', 'port': 30029, 'latitude': 36.6266259, 'longitude': 127.4590111, 'altitude': 13, 'offset_m': 'lat: 2 m, lng: 45 m, alt: 13 m'}}
[2025-03-12 10:00:13,808] [INFO] [CLUSTER LEADER 30175] Broadcasting PRE-PREPARE: REQUEST 1741741213760
[2025-03-12 10:00:14,661] [INFO] [30175] PREPARE received from 30100 for REQUEST 1741741213760
[2025-03-12 10:00:14,731] [INFO] [30175] PREPARE received from 30056 for REQUEST 1741741213760
[2025-03-12 10:00:14,731] [INFO] [30175] Broadcasting COMMIT: REQUEST 1741741213760
[2025-03-12 10:00:16,294] [INFO] [30175] PREPARE received from 30178 for REQUEST 1741741213760
[2025-03-12 10:00:16,296] [INFO] [30175] COMMIT received from 30100 for REQUEST 1741741213760
[2025-03-12 10:00:16,329] [INFO] [30175] PREPARE received from 30170 for REQUEST 1741741213760
[2025-03-12 10:00:16,329] [INFO] [30175] COMMIT received from 30178 for REQUEST 1741741213760
[2025-03-12 10:00:16,329] [INFO] [30175] COMMIT complete. Sending PRE-REPLY: REQUEST 1741741213760 directly to Manager 30029
[2025-03-12 10:00:16,329] [INFO] [30175] COMMIT received from 30056 for REQUEST 1741741213760
[2025-03-12 10:00:16,329] [INFO] [30175] COMMIT received from 30182 for REQUEST 1741741213760
[2025-03-12 10:00:16,329] [INFO] [30175] COMMIT received from 30126 for REQUEST 1741741213760
[2025-03-12 10:00:16,329] [INFO] [30175] COMMIT received from 30183 for REQUEST 1741741213760
[2025-03-12 10:00:16,334] [INFO] [30175] COMMIT received from 30170 for REQUEST 1741741213760
[2025-03-12 10:00:16,334] [INFO] [30175] COMMIT received from 30085 for REQUEST 1741741213760
[2025-03-12 10:00:16,334] [INFO] [30175] PREPARE received from 30085 for REQUEST 1741741213760
[2025-03-12 10:00:16,334] [INFO] [30175] PREPARE received from 30126 for REQUEST 1741741213760
[2025-03-12 10:00:16,334] [INFO] [30175] PREPARE received from 30182 for REQUEST 1741741213760
[2025-03-12 10:00:16,336] [INFO] [30175] PREPARE received from 30183 for REQUEST 1741741213760
[2025-03-12 10:00:17,343] [INFO] [30175] PREPARE received from 30031 for REQUEST 1741741213760
[2025-03-12 10:00:17,345] [INFO] [30175] PREPARE received from 30192 for REQUEST 1741741213760
[2025-03-12 10:00:17,345] [INFO] [30175] PREPARE received from 30173 for REQUEST 1741741213760
[2025-03-12 10:00:17,345] [INFO] [30175] COMMIT received from 30031 for REQUEST 1741741213760
[2025-03-12 10:00:17,345] [INFO] [30175] COMMIT received from 30173 for REQUEST 1741741213760
[2025-03-12 10:00:17,345] [INFO] [30175] COMMIT received from 30192 for REQUEST 1741741213760
[2025-03-12 10:00:17,413] [INFO] [30175] COMMIT received from 30112 for REQUEST 1741741213760
[2025-03-12 10:00:17,415] [INFO] [30175] PREPARE received from 30112 for REQUEST 1741741213760
[2025-03-12 10:00:17,621] [INFO] [30175] PREPARE received from 30024 for REQUEST 1741741213760
[2025-03-12 10:00:17,621] [INFO] [30175] COMMIT received from 30024 for REQUEST 1741741213760
[2025-03-12 10:00:18,022] [INFO] [30175] PREPARE received from 30045 for REQUEST 1741741213760
[2025-03-12 10:00:18,040] [INFO] [30175] PREPARE received from 30000 for REQUEST 1741741213760
[2025-03-12 10:00:18,040] [INFO] [30175] COMMIT received from 30045 for REQUEST 1741741213760
[2025-03-12 10:00:18,043] [INFO] [30175] PREPARE received from 30077 for REQUEST 1741741213760
[2025-03-12 10:00:18,043] [INFO] [30175] PREPARE received from 30037 for REQUEST 1741741213760
[2025-03-12 10:00:18,043] [INFO] [30175] PREPARE received from 30005 for REQUEST 1741741213760
[2025-03-12 10:00:18,043] [INFO] [30175] COMMIT received from 30037 for REQUEST 1741741213760
[2025-03-12 10:00:18,043] [INFO] [30175] COMMIT received from 30005 for REQUEST 1741741213760
[2025-03-12 10:00:18,043] [INFO] [30175] COMMIT received from 30000 for REQUEST 1741741213760
[2025-03-12 10:00:18,045] [INFO] [30175] COMMIT received from 30077 for REQUEST 1741741213760
[2025-03-12 10:00:18,063] [INFO] [30175] PREPARE received from 30136 for REQUEST 1741741213760
[2025-03-12 10:00:18,063] [INFO] [30175] COMMIT received from 30136 for REQUEST 1741741213760
[2025-03-12 10:00:18,148] [INFO] [30175] PREPARE received from 30055 for REQUEST 1741741213760
[2025-03-12 10:00:18,148] [INFO] [30175] COMMIT received from 30055 for REQUEST 1741741213760
[2025-03-12 10:00:18,361] [INFO] [30175] PREPARE received from 30046 for REQUEST 1741741213760
