[2025-03-11 17:48:09,439] [INFO] Node started: localhost:30196 | index=197 | f=1, k=4
[2025-03-11 17:48:11,724] [INFO] [30196] PRE-PREPARE received: {'request_id': 1741682891617, 'data': 'llapbft_message_1741682891617', 'timestamp': 1741682891.640408, 'leader': 30004, 'cluster_id': 0, 'cluster_ports': [30000, 30003, 30004, 30005, 30013, 30016, 30018, 30026, 30027, 30032, 30033, 30035, 30038, 30040, 30042, 30043, 30047, 30053, 30055, 30058, 30060, 30062, 30067, 30069, 30078, 30081, 30082, 30086, 30090, 30092, 30095, 30111, 30117, 30121, 30123, 30127, 30132, 30142, 30143, 30157, 30162, 30164, 30168, 30169, 30170, 30171, 30175, 30177, 30178, 30182, 30190, 30195, 30196], 'cluster_manager': {'host': 'localhost', 'port': 30092, 'latitude': 36.6274499, 'longitude': 127.4590589, 'altitude': 27, 'offset_m': 'lat: 94 m, lng: 49 m, alt: 27 m'}, 'simulated_delay': 0.00030933333333333334, 'distance': 156.01903009153108, 'message_size_bits': 5568}
[2025-03-11 17:48:11,741] [INFO] [30196] Broadcasting PREPARE: REQUEST 1741682891617
[2025-03-11 17:48:12,071] [INFO] [30196] PREPARE received from 30168 for REQUEST 1741682891617
[2025-03-11 17:48:12,071] [INFO] [30196] Broadcasting COMMIT: REQUEST 1741682891617
[2025-03-11 17:48:13,060] [INFO] [30196] PREPARE received from 30177 for REQUEST 1741682891617
[2025-03-11 17:48:13,102] [INFO] [30196] PREPARE received from 30121 for REQUEST 1741682891617
[2025-03-11 17:48:13,104] [INFO] [30196] PREPARE received from 30170 for REQUEST 1741682891617
[2025-03-11 17:48:13,104] [INFO] [30196] PREPARE received from 30003 for REQUEST 1741682891617
[2025-03-11 17:48:13,104] [INFO] [30196] PREPARE received from 30060 for REQUEST 1741682891617
[2025-03-11 17:48:13,104] [INFO] [30196] PREPARE received from 30013 for REQUEST 1741682891617
[2025-03-11 17:48:13,282] [INFO] [30196] PREPARE received from 30142 for REQUEST 1741682891617
[2025-03-11 17:48:13,282] [INFO] [30196] PREPARE received from 30127 for REQUEST 1741682891617
[2025-03-11 17:48:13,282] [INFO] [30196] PREPARE received from 30162 for REQUEST 1741682891617
[2025-03-11 17:48:13,543] [INFO] [30196] COMMIT received from 30168 for REQUEST 1741682891617
[2025-03-11 17:48:13,583] [INFO] [30196] COMMIT received from 30142 for REQUEST 1741682891617
[2025-03-11 17:48:13,583] [INFO] [30196] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682891617 directly to Manager 30092
