[2025-03-11 17:48:09,629] [INFO] Node started: localhost:30197 | index=198 | f=1, k=4
[2025-03-11 17:48:11,801] [INFO] [30197] PRE-PREPARE received: {'request_id': 1741682891617, 'data': 'llapbft_message_1741682891617', 'timestamp': 1741682891.640408, 'leader': 30034, 'cluster_id': 1, 'cluster_ports': [30001, 30006, 30009, 30010, 30011, 30014, 30017, 30020, 30021, 30023, 30034, 30036, 30045, 30049, 30061, 30064, 30071, 30087, 30091, 30097, 30099, 30104, 30106, 30107, 30108, 30119, 30122, 30124, 30126, 30128, 30131, 30135, 30136, 30139, 30159, 30160, 30161, 30163, 30165, 30173, 30176, 30179, 30181, 30184, 30185, 30186, 30187, 30189, 30194, 30197], 'cluster_manager': {'host': 'localhost', 'port': 30011, 'latitude': 36.6272448, 'longitude': 127.4600418, 'altitude': 103, 'offset_m': 'lat: 71 m, lng: 137 m, alt: 103 m'}, 'simulated_delay': 0.000904, 'distance': 265.9708879666055, 'message_size_bits': 5424}
[2025-03-11 17:48:11,817] [INFO] [30197] Broadcasting PREPARE: REQUEST 1741682891617
[2025-03-11 17:48:12,370] [INFO] [30197] PREPARE received from 30179 for REQUEST 1741682891617
[2025-03-11 17:48:12,370] [INFO] [30197] Broadcasting COMMIT: REQUEST 1741682891617
[2025-03-11 17:48:12,379] [INFO] [30197] COMMIT received from 30179 for REQUEST 1741682891617
[2025-03-11 17:48:12,824] [INFO] [30197] PREPARE received from 30124 for REQUEST 1741682891617
[2025-03-11 17:48:12,857] [INFO] [30197] COMMIT received from 30124 for REQUEST 1741682891617
[2025-03-11 17:48:12,857] [INFO] [30197] COMMIT complete. Sending PRE-REPLY: REQUEST 1741682891617 directly to Manager 30011
[2025-03-11 17:48:13,464] [INFO] [30197] PREPARE received from 30017 for REQUEST 1741682891617
[2025-03-11 17:48:13,554] [INFO] [30197] COMMIT received from 30017 for REQUEST 1741682891617
[2025-03-11 17:48:13,896] [INFO] [30197] PREPARE received from 30107 for REQUEST 1741682891617
[2025-03-11 17:48:13,897] [INFO] [30197] COMMIT received from 30107 for REQUEST 1741682891617
[2025-03-11 17:48:14,528] [INFO] [30197] PREPARE received from 30119 for REQUEST 1741682891617
[2025-03-11 17:48:14,528] [INFO] [30197] COMMIT received from 30119 for REQUEST 1741682891617
[2025-03-11 17:48:14,995] [INFO] [30197] COMMIT received from 30128 for REQUEST 1741682891617
[2025-03-11 17:48:14,995] [INFO] [30197] PREPARE received from 30128 for REQUEST 1741682891617
[2025-03-11 17:48:15,732] [INFO] [30197] COMMIT received from 30034 for REQUEST 1741682891617
[2025-03-11 17:48:15,787] [INFO] [30197] PREPARE received from 30136 for REQUEST 1741682891617
[2025-03-11 17:48:15,802] [INFO] [30197] COMMIT received from 30136 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] PREPARE received from 30135 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] PREPARE received from 30189 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] PREPARE received from 30194 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] COMMIT received from 30135 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] COMMIT received from 30126 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] COMMIT received from 30194 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] COMMIT received from 30189 for REQUEST 1741682891617
[2025-03-11 17:48:16,374] [INFO] [30197] PREPARE received from 30126 for REQUEST 1741682891617
[2025-03-11 17:48:16,380] [INFO] [30197] PREPARE received from 30021 for REQUEST 1741682891617
[2025-03-11 17:48:16,380] [INFO] [30197] COMMIT received from 30021 for REQUEST 1741682891617
[2025-03-11 17:48:16,821] [INFO] [30197] PREPARE received from 30020 for REQUEST 1741682891617
[2025-03-11 17:48:16,821] [INFO] [30197] COMMIT received from 30020 for REQUEST 1741682891617
[2025-03-11 17:48:16,949] [INFO] [30197] PREPARE received from 30161 for REQUEST 1741682891617
[2025-03-11 17:48:16,949] [INFO] [30197] COMMIT received from 30161 for REQUEST 1741682891617
[2025-03-11 17:48:17,581] [INFO] [30197] PREPARE received from 30071 for REQUEST 1741682891617
[2025-03-11 17:48:17,583] [INFO] [30197] COMMIT received from 30071 for REQUEST 1741682891617
[2025-03-11 17:48:17,694] [INFO] [30197] PREPARE received from 30064 for REQUEST 1741682891617
