[2025-03-07 14:47:17,924] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:12:19,108] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:16:06,546] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:17:00,039] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:18:53,603] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:43:40,109] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:43:46,981] [INFO] [30021] PRE-PREPARE received: {'request_id': 1741329826934, 'data': 'llapbft_message_1741329826934', 'timestamp': 1741329826.965873, 'leader': 30015, 'cluster_id': 0, 'cluster_ports': [30030, 30010, 30022, 30021, 30016, 30009, 30015, 30036, 30037, 30000], 'cluster_manager': {'host': 'localhost', 'port': 30030, 'latitude': 36.6267496, 'longitude': 127.4609648, 'altitude': 99, 'offset_m': 'lat: 16 m, lng: 219 m, alt: 99 m'}, 'simulated_delay': 0.000264, 'distance': 242.1364860934497, 'message_size_bits': 3168}
[2025-03-07 15:43:46,981] [INFO] [30021] Broadcasting PREPARE: REQUEST 1741329826934
[2025-03-07 15:43:47,012] [INFO] [30021] COMMIT received from 30015 for REQUEST 1741329826934
[2025-03-07 15:43:47,014] [INFO] [30021] PREPARE received from 30036 for REQUEST 1741329826934
[2025-03-07 15:43:47,014] [INFO] [30021] Broadcasting COMMIT: REQUEST 1741329826934
[2025-03-07 15:43:47,014] [INFO] [30021] PREPARE received from 30000 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] COMMIT received from 30036 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] COMMIT complete. Sending PRE-REPLY: REQUEST 1741329826934 directly to Manager 30030
[2025-03-07 15:43:47,017] [INFO] [30021] PREPARE received from 30037 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] COMMIT received from 30022 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] PREPARE received from 30022 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] COMMIT received from 30037 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] PREPARE received from 30016 for REQUEST 1741329826934
[2025-03-07 15:43:47,017] [INFO] [30021] COMMIT received from 30016 for REQUEST 1741329826934
[2025-03-07 15:43:47,028] [INFO] [30021] COMMIT received from 30000 for REQUEST 1741329826934
[2025-03-07 15:43:47,028] [INFO] [30021] PREPARE received from 30009 for REQUEST 1741329826934
[2025-03-07 15:43:47,030] [INFO] [30021] COMMIT received from 30009 for REQUEST 1741329826934
[2025-03-07 15:44:20,128] [INFO] Node started: localhost:30021 | index=22 | f=1, k=4
[2025-03-07 15:44:29,013] [INFO] [30021] PRE-PREPARE received: {'request_id': 1741329868965, 'data': 'llapbft_message_1741329868965', 'timestamp': 1741329868.9976425, 'leader': 30035, 'cluster_id': 0, 'cluster_ports': [30035, 30005, 30021, 30015, 30028, 30029, 30003, 30012, 30039, 30038], 'cluster_manager': {'host': 'localhost', 'port': 30039, 'latitude': 36.6273021, 'longitude': 127.4612821, 'altitude': 51, 'offset_m': 'lat: 77 m, lng: 247 m, alt: 51 m'}, 'simulated_delay': 0.0005293333333333334, 'distance': 254.07601392169857, 'message_size_bits': 3176}
[2025-03-07 15:44:29,013] [INFO] [30021] Broadcasting PREPARE: REQUEST 1741329868965
