[2025-03-24 11:40:04,732] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 11:47:29,940] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 11:47:35,859] [INFO] [Node_  1] Received REQUEST: id:1742784455847
[2025-03-24 11:47:36,042] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30005, delay:0.1554s, distance:0018.95m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:36,044] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30006, delay:0.1554s, distance:0021.73m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:36,242] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30013, delay:0.1554s, distance:0023.37m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:36,261] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30016, delay:0.1554s, distance:0021.17m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:36,267] [INFO] [Node_  1] Received COMMIT: id:1742784455847, from:30005, delay:0.1554s, distance:0018.95m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:36,275] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30015, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:36,283] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30017, delay:0.1554s, distance:0022.05m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:36,306] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30009, delay:0.1554s, distance:0016.69m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:36,312] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30011, delay:0.1554s, distance:0022.69m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:36,318] [INFO] [Node_  1] Received PREPARE: id:1742784455847, from:30019, delay:0.1554s, distance:0022.66m (Euclidean), mes_siz_bit:8389512
