[2025-03-24 11:40:07,720] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 11:47:32,937] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 11:47:35,939] [INFO] [Node_ 16] Received PRE-PREPARE: id:1742784455847, from:30000, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,075] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30005, delay:0.1554s, distance:0009.11m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,077] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30006, delay:0.1554s, distance:0014.11m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,179] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30013, delay:0.1554s, distance:0009.00m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,212] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30016, delay:0.1554s, distance:0014.88m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,218] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30017, delay:0.1554s, distance:0010.36m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,267] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30002, delay:0.1554s, distance:0006.77m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,275] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30012, delay:0.1554s, distance:0014.49m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,291] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30001, delay:0.1554s, distance:0003.61m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,300] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30008, delay:0.1554s, distance:0006.82m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,304] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30007, delay:0.1554s, distance:0007.97m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,308] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30018, delay:0.1554s, distance:0014.13m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,320] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30004, delay:0.1554s, distance:0018.94m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,324] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30019, delay:0.1554s, distance:0014.82m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,326] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30003, delay:0.1554s, distance:0009.76m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,330] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30009, delay:0.1554s, distance:0012.93m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,334] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30014, delay:0.1554s, distance:0009.27m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,338] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30010, delay:0.1554s, distance:0012.98m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,342] [INFO] [Node_ 16] Received PREPARE: id:1742784455847, from:30011, delay:0.1554s, distance:0010.88m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,351] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30005, delay:0.1554s, distance:0009.11m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,356] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30000, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,369] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30006, delay:0.1554s, distance:0014.11m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,391] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30013, delay:0.1554s, distance:0009.00m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,399] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30008, delay:0.1554s, distance:0006.82m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,405] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30017, delay:0.1554s, distance:0010.36m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,422] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30016, delay:0.1554s, distance:0014.88m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,430] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30012, delay:0.1554s, distance:0014.49m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,432] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30003, delay:0.1554s, distance:0009.76m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,456] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30018, delay:0.1554s, distance:0014.13m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,460] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30001, delay:0.1554s, distance:0003.61m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,464] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30002, delay:0.1554s, distance:0006.77m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,474] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30007, delay:0.1554s, distance:0007.97m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,511] [INFO] [Node_ 16] Cleaned up 1 finished statuses
[2025-03-24 11:47:36,511] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30011, delay:0.1554s, distance:0010.88m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,543] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30019, delay:0.1554s, distance:0014.82m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,553] [INFO] [Node_ 16] Received COMMIT: id:1742784455847, from:30004, delay:0.1554s, distance:0018.94m (Euclidean), mes_siz_bit:8390248
